t,xdot,beta,history
7.49,0.019468069821760126,1.0,True
7.5,0.019434137245156188,1.0,True
7.51,0.01940043830582525,1.0,True
7.5200000000000005,0.019366763439015083,1.0,True
7.53,0.01933335553280071,1.0,True
7.54,0.01929989145881451,1.0,True
7.55,0.019266528091356865,1.0,True
7.5600000000000005,0.019233383405325075,1.0,True
7.57,0.019200121502410007,1.0,True
7.58,0.019167152240351332,1.0,True
7.59,0.01913404516735777,1.0,True
7.6000000000000005,0.019101030475980156,1.0,True
7.61,0.019068369866558812,1.0,True
7.62,0.019035654661223013,1.0,True
7.63,0.019002930888862776,1.0,True
7.640000000000001,0.01897030582896539,1.0,True
7.65,0.018937922099240664,1.0,True
7.66,0.018905758875076013,1.0,True
7.67,0.018873501957691524,1.0,True
7.68,0.01884134746273591,1.0,True
7.69,0.018809299422978144,1.0,True
7.7,0.01877735580411727,1.0,True
7.71,0.01874538188809167,1.0,True
7.72,0.018713439856349965,1.0,True
7.73,0.01868170121046218,1.0,True
7.74,0.01865008384159724,1.0,True
7.75,0.018618513224370754,1.0,True
7.76,0.018587227686209806,1.0,True
7.7700000000000005,0.01855570634162511,1.0,True
7.78,0.0185245769749535,1.0,True
7.79,0.018493402830146707,1.0,True
7.8,0.018462273390850017,1.0,True
7.8100000000000005,0.018431243847859442,1.0,True
7.82,0.018400432971659133,1.0,True
7.83,0.01836963306898373,1.0,True
7.84,0.01833888538506735,1.0,True
7.8500000000000005,0.01830812924374604,1.0,True
7.86,0.01827757985823812,1.0,True
7.87,0.01824720297697889,1.0,True
7.88,0.018216790620342857,1.0,True
7.890000000000001,0.01818633753315685,1.0,True
7.9,0.01815621651534832,1.0,True
7.91,0.01812597720871942,1.0,True
7.92,0.018095972886820844,1.0,True
7.930000000000001,0.018065908588131563,1.0,True
7.94,0.018036012803123544,1.0,True
7.95,0.018006153019657162,1.0,True
7.96,0.01797639463554512,1.0,True
7.97,0.01794675799033824,1.0,True
7.98,0.017917205657574268,1.0,True
7.99,0.01788764290988344,1.0,True
8.0,0.01785836904308738,1.0,True
8.01,0.017829196965388466,1.0,True
8.02,0.017799846002551516,1.0,True
8.03,0.017770809482316522,1.0,True
8.040000000000001,0.017741853776786012,1.0,True
8.05,0.017712637005356663,1.0,True
8.06,0.017683862961772327,1.0,True
8.07,0.017654967692563382,1.0,True
8.08,0.017626112669585983,1.0,True
8.09,0.017597397687425975,1.0,True
8.1,0.017568867938382204,1.0,True
8.11,0.01754032571616668,1.0,True
8.120000000000001,0.017511805519013796,1.0,True
8.13,0.017483413035401216,1.0,True
8.14,0.017455107569303085,1.0,True
8.15,0.017426919381261896,1.0,True
8.16,0.0173988435951623,1.0,True
8.17,0.017370674289984345,1.0,True
8.18,0.017342754400816368,1.0,True
8.19,0.017314939384101537,1.0,True
8.2,0.017286854805885796,1.0,True
8.21,0.017259014715510338,1.0,True
8.22,0.017231263776783596,1.0,True
8.23,0.017203713590063018,1.0,True
8.24,0.017176295446816637,1.0,True
8.25,0.01714878838436084,1.0,True
8.26,0.017121342836816093,1.0,True
8.27,0.017093911563174774,1.0,True
8.28,0.017066609900125537,1.0,True
8.290000000000001,0.017039423816831108,1.0,True
8.3,0.017012371417535147,1.0,True
8.31,0.01698521175646455,1.0,True
8.32,0.01695822079407417,1.0,True
8.33,0.016931314542468774,1.0,True
8.34,0.016904530479883537,1.0,True
8.35,0.01687778687639153,1.0,True
8.36,0.016851011754422548,1.0,True
8.370000000000001,0.016824402684339455,1.0,True
8.38,0.016797855101359123,1.0,True
8.39,0.01677127248512181,1.0,True
8.4,0.01674475751739694,1.0,True
8.41,0.016718358244967653,1.0,True
8.42,0.016692003741740312,1.0,True
8.43,0.01666595016067931,1.0,True
8.44,0.016639844300731864,1.0,True
8.45,0.016613774345823593,1.0,True
8.46,0.016587737440708242,1.0,True
8.47,0.016561862305076443,1.0,True
8.48,0.0165360994424598,1.0,True
8.49,0.016510202948569263,1.0,True
8.5,0.016484472553795104,1.0,True
8.51,0.016458838458575542,1.0,True
8.52,0.016433222882440687,1.0,True
8.53,0.016407617008928264,1.0,True
8.540000000000001,0.016382113851940175,1.0,True
8.55,0.01635683091583163,1.0,True
8.56,0.016331440931244858,1.0,True
8.57,0.01630606197754855,1.0,True
