t,xdot,beta
4.7700000000000005,0.015946194016623744,0.01
4.78,0.015896179839698835,0.01
4.79,0.015846426560766028,0.01
4.8,0.015796932278435993,0.01
4.8100000000000005,0.01574769510909859,0.01
4.82,0.01569871318672015,0.01
4.83,0.015649984662643373,0.01
4.84,0.015601507705390002,0.01
4.8500000000000005,0.015553280500466112,0.01
4.86,0.01550530125016999,0.01
4.87,0.015457568173402594,0.01
4.88,0.015410079505480526,0.01
4.89,0.015362833497951481,0.01
4.9,0.015315828418412177,0.01
4.91,0.015269062550328661,0.01
4.92,0.015222534192858989,0.01
4.93,0.015176241660678267,0.01
4.94,0.015130183283805958,0.01
4.95,0.015084357407435512,0.01
4.96,0.015038762391766144,0.01
4.97,0.014993396611836896,0.01
4.98,0.014948258457362798,0.01
4.99,0.014903346332573224,0.01
5.0,0.014858658656052272,0.01
5.01,0.014814193860581285,0.01
5.0200000000000005,0.01476995039298337,0.01
5.03,0.014725926713969953,0.01
5.04,0.014682121297989261,0.01
5.05,0.01463853263307682,0.01
5.0600000000000005,0.014595159220707823,0.01
5.07,0.014551999575651427,0.01
5.08,0.014509052225826853,0.01
5.09,0.01446631571216141,0.01
5.1000000000000005,0.014423788588450243,0.01
5.11,0.014381469421217935,0.01
5.12,0.014339356789581793,0.01
5.13,0.014297449285116939,0.01
5.14,0.014255745511723057,0.01
5.15,0.014214244085492826,0.01
5.16,0.014172943634582047,0.01
5.17,0.014131842799081341,0.01
5.18,0.014090940230889516,0.01
5.19,0.014050234593588463,0.01
5.2,0.01400972456231969,0.01
5.21,0.013969408823662294,0.01
5.22,0.013929286075512559,0.01
5.23,0.013889355026964954,0.01
5.24,0.013849614398194694,0.01
5.25,0.013810062920341683,0.01
5.26,0.013770699335395918,0.01
5.2700000000000005,0.013731522396084326,0.01
5.28,0.013692530865758959,0.01
5.29,0.013653723518286573,0.01
5.3,0.013615099137939585,0.01
5.3100000000000005,0.013576656519288318,0.01
5.32,0.013538394467094617,0.01
5.33,0.013500311796206707,0.01
5.34,0.013462407331455362,0.01
5.3500000000000005,0.013424679907551336,0.01
5.36,0.013387128368984032,0.01
5.37,0.013349751569921384,0.01
5.38,0.013312548374110965,0.01
5.39,0.013275517654782274,0.01
5.4,0.013238658294550218,0.01
5.41,0.013201969185319741,0.01
5.42,0.013165449228191572,0.01
5.43,0.01312909733336916,0.01
5.44,0.013092912420066653,0.01
5.45,0.013056893416418032,0.01
5.46,0.013021039259387279,0.01
5.47,0.012985348894679647,0.01
5.48,0.012949821276653969,0.01
5.49,0.01291445536823599,0.01
5.5,0.012879250140832759,0.01
5.51,0.012844204574247979,0.01
5.5200000000000005,0.012809317656598413,0.01
5.53,0.012774588384231225,0.01
5.54,0.012740015761642314,0.01
5.55,0.01270559880139558,0.01
5.5600000000000005,0.012671336524043177,0.01
5.57,0.012637227958046655,0.01
5.58,0.01260327213969904,0.01
5.59,0.012569468113047794,0.01
5.6000000000000005,0.012535814929818725,0.01
5.61,0.012502311649340726,0.01
5.62,0.012468957338471386,0.01
5.63,0.0124357510715235,0.01
5.64,0.012402691930192377,0.01
5.65,0.012369779003484025,0.01
5.66,0.012337011387644132,0.01
5.67,0.01230438818608787,0.01
5.68,0.01227190850933051,0.01
5.69,0.012239571474918812,0.01
5.7,0.01220737620736323,0.01
5.71,0.012175321838070819,0.01
5.72,0.012143407505279003,0.01
5.73,0.012111632353990013,0.01
5.74,0.0120799955359061,0.01
5.75,0.01204849620936548,0.01
5.76,0.012017133539278989,0.01
5.7700000000000005,0.011985906697067467,0.01
5.78,0.01195481486059984,0.01
5.79,0.01192385721413189,0.01
5.8,0.011893032948245716,0.01
5.8100000000000005,0.011862341259789869,0.01
5.82,0.011831781351820178,0.01
5.83,0.011801352433541188,0.01
5.84,0.011771053720248297,0.01
5.8500000000000005,0.011740884433270505,0.01
5.86,0.011710843799913818,0.01
5.87,0.011680931053405263,0.01
5.88,0.01165114543283753,0.01
5.89,0.011621486183114224,0.01
5.9,0.011591952554895707,0.01
5.91,0.011562543804545574,0.01
5.92,0.011533259194077657,0.01
5.93,0.011504097991103662,0.01
5.94,0.011475059468781353,0.01
5.95,0.01144614290576331,0.01
5.96,0.011417347586146239,0.01
5.97,0.011388672799420836,0.01
5.98,0.011360117840422205,0.01
5.99,0.011331682009280804,0.01
6.0,0.011303364611373925,0.01
6.01,0.011275164957277687,0.01
6.0200000000000005,0.01124708236271957,0.01
6.03,0.011219116148531457,0.01
6.04,0.01119126564060315,0.01
6.05,0.011163530169836419,0.01
6.0600000000000005,0.01113590907209954,0.01
6.07,0.011108401688182301,0.01
6.08,0.01108100736375151,0.01
6.09,0.011053725449306953,0.01
6.1000000000000005,0.011026555300137852,0.01
6.11,0.010999496276279767,0.01
6.12,0.010972547742471942,0.01
6.13,0.010945709068115143,0.01
6.140000000000001,0.010918979627229902,0.01
6.15,0.01089235879841523,0.01
6.16,0.010865845964807741,0.01
6.17,0.010839440514041237,0.01
6.18,0.010813141838206685,0.01
6.19,0.010786949333812634,0.01
6.2,0.010760862401746054,0.01
6.21,0.010734880447233558,0.01
6.22,0.01070900287980305,0.01
6.23,0.01068322911324577,0.01
6.24,0.010657558565578727,0.01
6.25,0.010631990659007535,0.01
6.26,0.010606524819889615,0.01
6.2700000000000005,0.0105811604786978,0.01
6.28,0.010555897069984306,0.01
6.29,0.010530734032345068,0.01
6.3,0.010505670808384458,0.01
6.3100000000000005,0.01048070684468036,0.01
6.32,0.01045584159174961,0.01
6.33,0.010431074504013768,0.01
6.34,0.010406405039765268,0.01
6.3500000000000005,0.01038183266113391,0.01
6.36,0.010357356834053682,0.01
6.37,0.010332977028229919,0.01
6.38,0.010308692717106818,0.01
6.390000000000001,0.010284503377835258,0.01
6.4,0.01026040849124097,0.01
6.41,0.010236407541793007,0.01
6.42,0.010212500017572549,0.01
6.43,0.010188685410242019,0.01
6.44,0.010164963215014497,0.01
6.45,0.010141332930623487,0.01
6.46,0.010117794059292915,0.01
6.47,0.010094346106707498,0.01
6.48,0.010070988581983369,0.01
6.49,0.010047720997639018,0.01
6.5,0.010024542869566501,0.01
6.51,0.010001453717002954,0.01
6.5200000000000005,0.009978453062502397,0.01
6.53,0.009955540431907791,0.01
6.54,0.0099327153543234,0.01
6.55,0.00990997736208742,0.01
6.5600000000000005,0.009887325990744848,0.01
6.57,0.009864760779020692,0.01
6.58,0.009842281268793366,0.01
6.59,0.009819887005068388,0.01
6.6000000000000005,0.009797577535952345,0.01
6.61,0.00977535241262708,0.01
6.62,0.009753211189324169,0.01
6.63,0.009731153423299617,0.01
6.640000000000001,0.009709178674808826,0.01
6.65,0.009687286507081795,0.01
6.66,0.009665476486298556,0.01
6.67,0.009643748181564873,0.01
6.68,0.009622101164888144,0.01
6.69,0.009600535011153571,0.01
6.7,0.009579049298100542,0.01
6.71,0.009557643606299225,0.01
6.72,0.009536317519127441,0.01
6.73,0.009515070622747703,0.01
6.74,0.009493902506084504,0.01
6.75,0.009472812760801832,0.01
6.76,0.00945180098128088,0.01
