t,inertial,stokes_drag,history,velocity,R^2
0.92,0.08031543748994575,-0.016546901831454002,-0.04166641297591464,0.6037966472033316,0.9229422287430148
0.925,0.0808446336375188,-0.0172891197478914,-0.042039109984401794,0.5763999571009387,0.9229422287430148
0.93,0.08125149635696538,-0.01800871495675292,-0.04234626906908409,0.5482708029731969,0.9229422287430148
0.935,0.08153533017159206,-0.018704569793047812,-0.04258737070315176,0.5194529873713168,0.9229422287430148
0.94,0.0816956287699343,-0.019375602717360507,-0.04276199678092253,0.4899913440463714,0.9229422287430148
0.945,0.08173207589193884,-0.02002076999653427,-0.04286983133363566,0.45993166822531334,0.9229422287430148
0.95,0.08164454592282364,-0.02063906732678495,-0.042910661088368614,0.4293206454530292,0.9229422287430148
0.955,0.0814331041935363,-0.021229531396722862,-0.04288437586910437,0.3982057791108713,0.9229422287430148
0.96,0.0810980069871839,-0.02179124138784861,-0.04279096883922015,0.36663531672426064,0.9229422287430148
0.965,0.08063970125125945,-0.02232332041018728,-0.042630536584912254,0.334658175173597,0.9229422287430148
0.97,0.08005882401594241,-0.02282493687082412,-0.04240327903931582,0.30232386492431385,0.9229422287430148
0.975,0.07935620151920611,-0.02329530577320459,-0.042109499247324364,0.26968241339351084,0.9229422287430148
0.98,0.07853284803991507,-0.023733689945170375,-0.0417496029713594,0.23678428757168843,0.9229422287430148
0.985,0.0775899644405453,-0.024139401193811583,-0.041324098138584495,0.20368031601917902,0.9229422287430148
0.99,0.07652893642161143,-0.024511801385325077,-0.04083359413030476,0.17042161035790734,0.9229422287430148
0.995,0.0753513324903289,-0.024850303448186128,-0.04027880091453513,0.13705948637965543,0.9229422287430148
1.0,0.07405890164647745,-0.02515437229805769,-0.03966052802296258,0.10364538489251102,0.9229422287430148
1.005,0.0726535707888774,-0.02542352568297979,-0.03897968337377023,0.07023079242766572,0.9229422287430148
1.01,0.07113744184631399,-0.02565733494750571,-0.03823727194202763,0.036867161928699634,0.9229422287430148
1.015,0.06951278863717947,-0.02585542571457548,-0.037434394279589306,0.0036058335454340062,0.9229422287430148
1.02,0.06778205346251394,-0.02601747848404255,-0.03657224488667433,-0.02950204434564513,0.9229422287430148
1.025,0.06594784343755068,-0.026143229146898372,-0.03565211043753385,-0.06240559377298366,0.9229422287430148
1.03,0.06401292656726881,-0.026232469414369373,-0.034675367862836905,-0.0950542853327832,0.9229422287430148
1.035,0.06198022757185305,-0.02628504716119027,-0.03364348229162635,-0.1273980157628941,0.9229422287430148
1.04,0.059852823468358275,-0.026300866682491108,-0.03255800485592027,-0.15938718480881536,0.9229422287430148
1.045,0.057633938915246825,-0.026279888863867385,-0.03142057036124353,-0.19097277126384338,0.9229422287430148
1.05,0.05532694132683472,-0.02622213126433643,-0.030232894826582368,-0.22210640806693044,0.9229422287430148
1.055,0.05293533576505201,-0.026127668112017378,-0.02899677289746405,-0.252740456343088,0.9229422287430148
1.06,0.05046275961625965,-0.025996630212506172,-0.027714075136056948,-0.2828280782732422,0.9229422287430148
1.065,0.04791297706119981,-0.025829204770052218,-0.026386745192377433,-0.3123233086818507,0.9229422287430148
1.07,0.045289873346491746,-0.02562563512177645,-0.0250167968608829,-0.3411811252331937,0.9229422287430148
1.075,0.04259744886638443,-0.025386220385306323,-0.02360631102690358,-0.36935751712891907,0.9229422287430148
1.08,0.03983981306377348,-0.025111315020334847,-0.02215743250753825,-0.3968095522022569,0.9229422287430148
1.085,0.03702117815978633,-0.024801328304745452,-0.020672366791811825,-0.4234954423065202,0.9229422287430148
1.09,0.03414585272149694,-0.024456723726074915,-0.019153376685044667,-0.4493746068984272,0.9229422287430148
1.095,0.031218235077584394,-0.02407801828921849,-0.017602778862534165,-0.47440773471948555,0.9229422287430148
1.1,0.028242806592004416,-0.023665781741409053,-0.016022940337799933,-0.4985568434818038,0.9229422287430148
1.105,0.025224124805953076,-0.02322063571563249,-0.014416274850772084,-0.5217853374676646,0.9229422287430148
1.11,0.022166816458610367,-0.022743252793765524,-0.012785239181428832,-0.5440580629556033,0.9229422287430148
1.115,0.019075570397358445,-0.02223435549084646,-0.011132329394516301,-0.5653413613891338,0.9229422287430148
1.12,0.015955130388331396,-0.021694715162013378,-0.009460077021085988,-0.5856031202076746,0.9229422287430148
1.125,0.012810287838312544,-0.021125150833762055,-0.0077710451826862575,-0.6048128212630106,0.9229422287430148
1.13,0.009645874439153788,-0.020526527961292954,-0.006067824664145467,-0.6229415867483761,0.9229422287430148
