t_u,u,t_w,w,history
4.955982177564884,0.03966599961848179,8.658033842595794,-0.10546516773725048,False
5.116330484507923,0.038755556907864565,8.718750962029738,-0.10546660191522088,False
5.281866780151898,0.03784511419724734,8.781417784708369,-0.10546803609319128,False
5.452758919257935,0.03693467148663012,8.846148358078388,-0.10546947027116169,False
5.629180187443431,0.0360242287760129,8.913066567852841,-0.10547090444913208,False
5.811309476894632,0.035113786065395676,8.982307274666768,-0.1054723386271025,False
5.999331467764348,0.034203343354778454,9.054017617153836,-0.10547377280507289,False
6.193436815438725,0.03329290064416123,9.128358511274879,-0.1054752069830433,False
6.3938223438628725,0.03238245793354401,9.205506382046327,-0.1054766411610137,False
6.600691245121535,0.03147201522292679,9.285655171832376,-0.10547807533898411,False
6.8142532854769655,0.030561572512309565,9.36901867932124,-0.1054795095169545,False
7.0347250180731855,0.029651129801692336,9.455833296053173,-0.1054809436949249,False
7.26233000252212,0.02874068709107512,9.546361223492188,-0.10548237787289531,False
7.497299031594316,0.02783024438045789,9.640894274459024,-0.10548381205086571,False
7.739870365244158,0.026919801669840676,9.739758389632359,-0.10548524622883612,False
7.990289972206849,0.026009358959223447,9.843319034964836,-0.10548668040680652,False
8.248811779412097,0.02509891624860623,9.951987692180873,-0.10548811458477693,False
8.515697929467535,0.024188473537989003,10.066229716076748,-0.10548954876274733,False
8.791219046472815,0.023278030827371787,10.186573915119821,-0.10549098294071772,False
9.07565451043402,0.022367588116754558,10.313624324265769,-0.10549241711868813,False
9.369292740556574,0.021457145406137343,10.448074793515815,-0.10549385129665853,False
9.67243148770405,0.020546702695520114,10.59072723108369,-0.10549528547462894,False
9.985378136319191,0.0196362599849029,10.74251464405319,-0.10549671965259934,False
10.308450016113586,0.01872581727428567,10.904530555537212,-0.10549815383056975,False
10.641974723841784,0.017815374563668454,11.078067012929912,-0.10549958800854015,False
10.98629045548629,0.016904931853051225,11.264664345757483,-0.10550102218651054,False
11.34174634919028,0.01599448914243401,11.466177261233957,-0.10550245636448095,False
11.708702839285724,0.01508404643181678,11.684864080341322,-0.10550389054245135,False
12.087532021775782,0.014173603721199565,11.923509434144027,-0.10550532472042176,False
12.478618031642394,0.013263161010582336,12.185596483012361,-0.10550675889839216,False
12.882357432361367,0.01235271829996512,12.47555440135155,-0.10550819307636257,False
13.29915961801997,0.011442275589347892,12.799123784942179,-0.10550962725433297,False
13.729447228444982,0.010531832878730676,13.163913452223289,-0.10551106143230338,False
14.173656577761868,0.009621390168113447,13.580281042115331,-0.10551249561027377,False
14.632238096819826,0.008710947457496232,14.062789197983086,-0.10551392978824417,False
15.10565678993133,0.007800504746879003,14.632748377469648,-0.10551536396621458,False
15.594392706389115,0.006890062036261788,15.322970616910755,-0.10551679814418498,False
16.098941427239005,0.0059796193256445584,16.18747601154238,-0.10551823232215539,False
16.619814567801903,0.005069176615027343,17.323818888588434,-0.10551966650012579,False
17.157540296454727,0.004158733904410114,18.93405524290561,-0.1055211006780962,False
17.71266387019618,0.0032482911937929,21.54405559266946,-0.1055225348560666,False
1.6449905514885903,0.0956732068949691,1.300365047697754,-0.0923070538413701,True
1.681227655751378,0.09474499022542439,1.3184443982202358,-0.09241133070152553,True
1.7182630193998623,0.0938167735558797,1.336925118884491,-0.09251560756168097,True
1.7561142273039982,0.09288855688633499,1.3558195054682018,-0.0926198844218364,True
1.7947992517509244,0.09196034021679028,1.3751403358518828,-0.09272416128199183,True
1.834336460988796,0.09103212354724557,1.394900893124577,-0.09282843814214727,True
1.8747446279608642,0.09010390687770088,1.4151149900017825,-0.0929327150023027,True
1.916042939234439,0.08917569020815617,1.435796994641964,-0.09303699186245813,True
1.9582510041295462,0.08824747353861147,1.4569618579544832,-0.09314126872261358,True
2.001388864052341,0.08731925686906677,1.4786251424987886,-0.09324554558276901,True
2.0454770020385675,0.08639104019952207,1.5008030530823737,-0.09334982244292445,True
2.0905363525126255,0.08546282352997736,1.5235124691731805,-0.09345409930307988,True
2.1365883112681834,0.08453460686043265,1.5467709792512587,-0.09355837616323531,True
2.183654745676593,0.08360639019088796,1.5705969172341132,-0.09366265302339075,True
2.231758005129856,0.08267817352134325,1.5950094011209217,-0.09376692988354618,True
2.280920931725345,0.08174995685179855,1.6200283740123262,-0.09387120674370161,True
2.331166871200174,0.08082174018225385,1.6456746476751358,-0.09397548360385705,True
2.3825196841237237,0.07989352351270915,1.6719699488350444,-0.09407976046401248,True
2.4350037573577508,0.07896530684316444,1.6989369683954851,-0.09418403732416791,True
2.4886440157944794,0.07803709017361973,1.7265994137971525,-0.09428831418432335,True
2.543465934384267,0.07710887350407503,1.7549820647506627,-0.09439259104447878,True
2.5994955504658854,0.07618065683453033,1.7841108325944477,-0.09449686790463421,True
2.6567594764141607,0.07525244016498563,1.814012823551475,-0.09460114476478966,True
2.7152849126217555,0.07432422349544093,1.844716406181911,-0.0947054216249451,True
2.7750996608344085,0.07339600682589623,1.8762512833547675,-0.09480969848510053,True
2.8362321378618494,0.07246779015635152,1.9086485690897974,-0.09491397534525596,True
2.898711389690274,0.07153957348680681,1.9419408706522212,-0.0950182522054114,True
2.962567106026555,0.0706113568172621,1.9761623763170661,-0.09512252906556683,True
3.027829635309641,0.06968314014771741,2.011348949257679,-0.09522680592572226,True
3.0945300002309195,0.0687549234781727,2.0475382280545786,-0.0953310827858777,True
3.1626999138129985,0.06782670680862801,2.084769734366662,-0.09543535964603313,True
3.2323717961056797,0.0668984901390833,2.1230849883575638,-0.09553963650618856,True
3.3035787915691164,0.0659702734695386,2.1625276325258036,-0.095643913366344,True
3.3763547872278337,0.06504205679999389,2.2031435646494977,-0.09574819022649943,True
3.4507344316958,0.06411384013044918,2.244981080624963,-0.09585246708665486,True
