t,x,z,xdot,zdot,x_crossings,z_crossings
2.765,0.2151693777790717,-0.34050859124719723,0.14308380718509595,-0.8004606205194337,,
2.77,0.21578028100715274,-0.3445230089791488,0.10134721961862464,-0.8048773828552329,,
2.775,0.2161820190362599,-0.34855330221403735,0.05944314981626699,-0.8068159060663683,,
2.7800000000000002,0.21637412568951056,-0.35258706505422066,0.017519730161407926,-0.8062718042657275,,
2.785,0.21635687547898774,-0.3566118916856065,-0.024274984448648087,-0.8032494720718827,,
2.79,0.21613128190572936,-0.3606154202354954,-0.06579353996471375,-0.7977620619294368,,
2.795,0.21569909314856145,-0.3645853764407269,-0.10688960399312346,-0.7898314302026127,,
2.8000000000000003,0.21506278515912408,-0.3685096169674555,-0.14741848219872355,-0.7794880527276886,,
2.805,0.21422555218974731,-0.37237617223376474,-0.18723762848464678,-0.7667709096250213,,
2.81,0.21319129478977528,-0.3761732885790754,-0.22620714713737752,-0.7517273403134731,,
2.815,0.2119646053150257,-0.3798894696360954,-0.26419028517106735,-0.7344128687231231,,
2.82,0.21055075100370915,-0.38351351675432094,-0.30105391312309016,-0.7148909998716598,,
2.825,0.20895565468088378,-0.3870345683372566,-0.336668992613512,-0.6932329880065361,,
2.83,0.2071858731617185,-0.3904421379496813,-0.3709110290086822,-0.669517577685446,,
2.835,0.2052485734321356,-0.39372615106552256,-0.4036605076044403,-0.6438307182121163,,
2.84,0.20315150669303944,-0.396876980322166,-0.4348033117821692,-0.6162652529329674,,
2.845,0.20090298036205517,-0.3998854791615375,-0.46423112167702213,-0.5869205841255273,,
2.85,0.19851182813368892,-0.40274301373612925,-0.4918417919487041,-0.555902314958858,,
2.855,0.19598737820581447,-0.4054414929705918,-0.51753970733742,-0.5233218696751751,,
2.86,0.19333941978666175,-0.40797339667218135,-0.5412361147533712,-0.4892960934034257,,
2.865,0.1905781680026316,-0.410331801592294,-0.5628494307447234,-0.45394683307199585,,
2.87,0.18771422733273085,-0.41251040534836775,-0.5823055232677211,-0.41740050084503055,,
2.875,0.1847585537006438,-0.4145035481222431,-0.5995379667832151,-0.379787621795965,,
2.88,0.18172241536003797,-0.4163062320610542,-0.6144882697931541,-0.34124236728044544,,
2.8850000000000002,0.1786173527129339,-0.4179141383122792,-0.6271060740356729,-0.3019020758142941,,
2.89,0.1754551372045814,-0.4193236416357048,-0.6373493246533163,-0.2619067631191558,,
2.895,0.1722477294414892,-0.42053182254200233,-0.6451844107591425,-0.22139862309889513,,
2.9,0.16900723668182854,-0.4215364769171855,-0.6505862759258347,-0.18052152155872594,,
2.9050000000000002,0.1657458698495725,-0.42233612310129554,-0.6535384982362522,-0.13942048445493546,,
2.91,0.16247590022523245,-0.4229300063983865,-0.6540333396381792,-0.09824118251366475,,
2.915,0.1592096159670961,-0.4233181010043569,-0.6520717644595605,-0.0571294140923564,,
2.92,0.15595927861728764,-0.4235011093485987,-0.6476634270479036,-0.01623058809561566,,
2.9250000000000003,0.1527370797468961,-0.4234804588541361,-0.6408266286106508,0.02431079120511917,,
2.93,0.1495550978937393,-0.42325829613047533,-0.6315882434400709,0.06435163557204453,,
2.935,0.14642525594515982,-0.4228374786228099,-0.6199836148188722,0.10375077865749441,,
2.94,0.14335927911647392,-0.42222156374947856,-0.6060564210069476,0.14236947446018688,,
2.945,0.14036865367344967,-0.42141479556950995,-0.5898585118198693,0.1800718866504839,,
2.95,0.1374645865443496,-0.4204220890299743,-0.5714497164103373,0.21672556700967788,,
2.955,0.13465796596378518,-0.4192490118520094,-0.5508976229696417,0.2522019212801201,,
