z_bar,u_bar,St,beta,history
-8.929765886287624,0.004994033700200612,0.01,0.99,True
-8.963210702341136,0.004994032597428404,0.01,0.99,True
-8.996655518394649,0.004994031566303379,0.01,0.99,True
-9.03010033444816,0.004994030602170612,0.01,0.99,True
-9.063545150501671,0.0049940297006776145,0.01,0.99,True
-9.096989966555183,0.004994028857754676,0.01,0.99,True
-9.130434782608695,0.0049940280695964945,0.01,0.99,True
-9.163879598662207,0.004994027332645002,0.01,0.99,True
-9.197324414715718,0.004994026643573295,0.01,0.99,True
-9.23076923076923,0.004994025999270622,0.01,0.99,True
-9.264214046822742,0.004994025396828335,0.01,0.99,True
-9.297658862876254,0.004994024833526763,0.01,0.99,True
-9.331103678929766,0.0049940243068229305,0.01,0.99,True
-9.364548494983277,0.004994023814339081,0.01,0.99,True
-9.397993311036789,0.0049940233538519375,0.01,0.99,True
-9.431438127090301,0.004994022923282675,0.01,0.99,True
-9.464882943143813,0.004994022520687525,0.01,0.99,True
-9.498327759197323,0.004994022144249008,0.01,0.99,True
-9.531772575250836,0.004994021792267726,0.01,0.99,True
-9.565217391304348,0.0049940214631546895,0.01,0.99,True
-9.59866220735786,0.00499402115542415,0.01,0.99,True
-9.63210702341137,0.0049940208676868825,0.01,0.99,True
-9.665551839464882,0.004994020598643924,0.01,0.99,True
-9.698996655518394,0.0049940203470807045,0.01,0.99,True
-9.732441471571907,0.0049940201118615635,0.01,0.99,True
-9.765886287625417,0.004994019891924626,0.01,0.99,True
-9.799331103678929,0.0049940196862770046,0.01,0.99,True
-9.832775919732441,0.004994019493990323,0.01,0.99,True
-9.866220735785953,0.004994019314196519,0.01,0.99,True
-9.899665551839464,0.004994019146083931,0.01,0.99,True
-9.933110367892976,0.004994018988893629,0.01,0.99,True
-9.966555183946488,0.00499401884191599,0.01,0.99,True
-10.0,0.004994018704487498,0.01,0.99,True
0.0,1.0551104995448388,0.01,0.99,False
-0.033444816053511704,0.9865717011047214,0.01,0.99,False
-0.06688963210702341,0.9225160156141711,0.01,0.99,False
-0.1003344481605351,0.8626502032998623,0.01,0.99,False
-0.13377926421404682,0.806700205159873,0.01,0.99,False
-0.16722408026755853,0.7544098883521847,0.01,0.99,False
-0.2006688963210702,0.7055398736471417,0.01,0.99,False
-0.23411371237458192,0.6598664395760753,0.01,0.99,False
-0.26755852842809363,0.6171804982594098,0.01,0.99,False
