t,light_x_history,light_z_history,light_xdot_history,light_zdot_history,neutral_x_history,neutral_z_history,neutral_xdot_history,neutral_zdot_history,heavy_x_history,heavy_z_history,heavy_xdot_history,heavy_zdot_history,light_x,light_z,light_xdot,light_zdot,neutral_x,neutral_z,neutral_xdot,neutral_zdot,heavy_x,heavy_z,heavy_xdot,heavy_zdot
0.17,0.05591065106693458,0.05591065106693458,0.18927408478621507,0.18927408478621507,0.10225826879589846,0.10225826879589846,0.4547688880015785,0.4547688880015785,0.14485880658873224,0.14485880658873224,0.7778313461555243,0.7778313461555243,0.13347028213575163,0.13347028213575163,0.6034750976359132,0.6034750976359132,0.15620483314495343,0.15620483314495343,0.8422173402576228,0.8422173402576228,0.16608070440189932,0.16608070440189932,0.9542477398341873,0.9542477398341873
0.17500000000000002,0.056848775872699604,0.056848775872699604,0.185990429078858,0.185990429078858,0.10451954443981,0.10451954443981,0.4497583596515821,0.4497583596515821,0.14874003076876,0.14874003076876,0.7746650180053323,0.7746650180053323,0.13646535726321204,0.13646535726321204,0.5945770728959833,0.5945770728959833,0.16040530378113957,0.16040530378113957,0.8379744406251116,0.8379744406251116,0.17084865863228652,0.17084865863228652,0.9529342538203066,0.9529342538203066
0.18,0.057770794123227255,0.057770794123227255,0.18283075108354693,0.18283075108354693,0.10675609700669407,0.10675609700669407,0.4448789920842881,0.4448789920842881,0.15260554731579415,0.15260554731579415,0.7715480736704206,0.7715480736704206,0.13941627111264854,0.13941627111264854,0.5858102462488161,0.5858102462488161,0.16458461339276742,0.16458461339276742,0.8337529157648815,0.8337529157648815,0.1756100499539007,0.1756100499539007,0.9516225757702751,0.9516225757702751
0.185,0.05867730697055681,0.05867730697055681,0.17978760011362213,0.17978760011362213,0.1089685667998279,0.1089685667998279,0.4401246212257152,0.4401246212257152,0.15645559820625748,0.15645559820625748,0.7684785473055327,0.7684785473055327,0.14232367487300146,0.14232367487300146,0.5771726830867455,0.5771726830867455,0.16874286855639103,0.16874286855639103,0.8295526580238475,0.8295526580238475,0.18036488740017864,0.18036488740017864,0.950312703195543,0.950312703195543
0.19,0.059568879858336324,0.059568879858336324,0.17685414056458262,0.17685414056458262,0.11115756438861989,0.11115756438861989,0.4354895152744014,0.4354895152744014,0.16029041591431048,0.16029041591431048,0.7654546031454242,0.7654546031454242,0.14518820990864875,0.14518820990864875,0.5686624779897541,0.5686624779897541,0.17288017536131176,0.17288017536131176,0.8253735602410993,0.8253735602410993,0.1851131799920618,0.1851131799920618,0.9490046336110021,0.9490046336110021
0.195,0.06044604543608015,0.06044604543608015,0.17402408760916982,0.17402408760916982,0.1133236726686704,0.1133236726686704,0.4309683343267282,0.4309683343267282,0.16411022403256395,0.16411022403256395,0.7624745236746696,0.7624745236746696,0.1480105084182534,0.1480105084182534,0.5602777527681124,0.5602777527681124,0.1769966393406913,0.1769966393406913,0.8212155158174836,0.8212155158174836,0.18985493673794346,0.18985493673794346,0.9476983645350017,0.9476983645350017
0.2,0.06130930617214085,0.06130930617214085,0.17129165100078106,0.17129165100078106,0.11546744873169244,0.11546744873169244,0.42655609469393535,0.42655609469393535,0.1679152378370299,0.1679152378370299,0.759536699152247,0.759536699152247,0.15079119322313425,0.15079119322313425,0.5520166570911045,0.5520166570911045,0.18109236549671448,0.18109236549671448,0.8170784186901875,0.8170784186901875,0.19459016665247678,0.19459016665247678,0.946393893484166,0.946393893484166
0.20500000000000002,0.062159136703013415,0.062159136703013415,0.16865148574773114,0.16865148574773114,0.11758942556715281,0.11758942556715281,0.42224813723631677,0.42224813723631677,0.17170566480262744,0.17170566480262744,0.7566396182965405,0.7566396182965405,0.1535308777611741,0.1535308777611741,0.5438773685051274,0.5438773685051274,0.18516745830341674,0.18516745830341674,0.8129621633298821,0.8129621633298821,0.1993188787211172,0.1993188787211172,0.9450912179831631,0.9450912179831631
0.21,0.06299598595060973,0.06299598595060973,0.16609864873728417,0.16609864873728417,0.11969011361422197,0.11969011361422197,0.41804009920947294,0.41804009920947294,0.17548170507460986,0.17548170507460986,0.7537818599878623,0.7537818599878623,0.15623016661839384,0.15623016661839384,0.5358580908544449,0.5358580908544449,0.1892220217095117,0.1892220217095117,0.8088666447378671,0.8088666447378671,0.20404108190199055,0.20404108190199055,0.9437903355641898,0.9437903355641898
0.215,0.06382027903560879,0.06382027903560879,0.16362856046418778,0.16362856046418778,0.121770002180683,0.121770002180683,0.4139278891539544,0.4139278891539544,0.17924355190075045,0.17924355190075045,0.7509620858537787,0.7509620858537787,0.15888965547163153,0.15888965547163153,0.5279570544514809,0.5279570544514809,0.19325615912742075,0.19325615912742075,0.8047917584571508,0.8047917584571508,0.208756785154083,0.208756785154083,0.9424912437592057,0.9424912437592057
0.22,0.0646324190104498,0.0646324190104498,0.1612369711013842,0.1612369711013842,0.1238295607429209,0.1238295607429209,0.40990766440546805,0.40990766440546805,0.18299139202838122,0.18299139202838122,0.7481790336146921,0.7481790336146921,0.16150993110921238,0.16150993110921238,0.5201725160154118,0.5201725160154118,0.19726997346478164,0.19726997346478164,0.8007374005406247,0.8007374005406247,0.21346599742386205,0.21346599742386205,0.9411939401036191,0.9411939401036191
0.225,0.06543278843194617,0.06543278843194617,0.15891993048029218,0.15891993048029218,0.12586924013913334,0.12586924013913334,0.40597581097011076,0.40597581097011076,0.18672540606980487,0.18672540606980487,0.7454315111185815,0.7454315111185815,0.16409157166311122,0.16409157166311122,0.5125027579824384,0.5125027579824384,0.20126356711009824,0.20126356711009824,0.7967034675655574,0.7967034675655574,0.21816872764527698,0.21816872764527698,0.9398984221362872,0.9398984221362872
0.23,0.06622175079267346,0.06622175079267346,0.1566737612303104,0.1566737612303104,0.12788947366729786,0.12788947366729786,0.40212892536074657,0.40212892536074657,0.19044576883945535,0.19044576883945535,0.7427183909454734,0.7427183909454734,0.1666351468755062,0.1666351468755062,0.5049460877138853,0.5049460877138853,0.2052370419352503,0.2052370419352503,0.7926898566310604,0.7926898566310604,0.2228649847397586,0.2228649847397586,0.9386046873995154,0.9386046873995154
0.23500000000000001,0.06699965182438987,0.06699965182438987,0.15449503493808445,0.15449503493808445,0.12989067809638233,0.12989067809638233,0.39836379827862317,0.39836379827862317,0.1941526496652562,0.1941526496652562,0.7400386055505236,0.7400386055505236,0.16914121801933601,0.16914121801933601,0.4975008377322162,0.4975008377322162,0.20919049930037106,0.20919049930037106,0.7886964653531606,0.7886964653531606,0.2275547776162193,0.2275547776162193,0.9373127334390579,0.9373127334390579
0.24,0.06776682068951172,0.06776682068951172,0.1523805508165576,0.1523805508165576,0.13187325460033522,0.13187325460033522,0.3946773998792694,0.3946773998792694,0.19784621267697594,0.19784621267697594,0.7373911428719837,0.7373911428719837,0.1716103379467323,0.1716103379467323,0.49016536557714707,0.49016536557714707,0.2131240400566395,0.2131240400566395,0.7847231918619804,0.7847231918619804,0.2322381151710531,0.2322381151710531,0.9360225578041175,0.9360225578041175
0.245,0.06852357107114632,0.06852357107114632,0.150327316473026,0.150327316473026,0.1338375896218223,0.1338375896218223,0.3910668663725993,0.3910668663725993,0.20152661707363204,0.20152661707363204,0.7347750423269044,0.7347750423269044,0.17404305159210207,0.17404305159210207,0.4829380523110456,0.4829380523110456,0.21703776453300366,0.21703776453300366,0.7807699348151478,0.7807699348151478,0.23691500628813567,0.23691500628813567,0.9347341580473454,0.9347341580473454
0.25,0.06927020217135678,0.06927020217135678,0.14833253074938738,0.14833253074938738,0.13578405567177837,0.13578405567177837,0.3875294879220037,0.3875294879220037,0.2051940173716819,0.2051940173716819,0.7321893911887026,0.7321893911887026,0.17643989581893646,0.17643989581893646,0.47581730297404495,0.47581730297404495,0.22093177252433696,0.22093177252433696,0.7768365934097606,0.7768365934097606,0.24158545983882412,0.24158545983882412,0.9334475317248416,0.9334475317248416
0.255,0.07000699962875273,0.07000699962875273,0.14639356820847696,0.14639356820847696,0.13771301207162873,0.13771301207162873,0.38406269761515455,0.38406269761515455,0.20884856363604426,0.20884856363604426,0.7296333212790702,0.7296333212790702,0.17880139935066258,0.17880139935066258,0.4688015467894754,0.4688015467894754,0.22480616338786394,0.22480616338786394,0.7729230672849859,0.7729230672849859,0.2462494846819573,0.2462494846819573,0.9321626763961549,0.9321626763961549
0.26,0.07073423636174019,0.07073423636174019,0.14450796517368975,0.14450796517368975,0.13962480564257018,0.13962480564257018,0.3806640614400159,0.3806640614400159,0.21249040169522504,0.21249040169522504,0.7271060059560686,0.7271060059560686,0.18112808334179575,0.18112808334179575,0.46188923546703575,0.46188923546703575,0.22866103595322027,0.22866103595322027,0.7690292566129089,0.7690292566129089,0.25090708966385555,0.25090708966385555,0.9308795896242821,0.9308795896242821
0.265,0.07145217334565943,0.07145217334565943,0.14267340708831544,0.14267340708831544,0.1415197713471068,0.1415197713471068,0.3773312691226737,0.3773312691226737,0.2161196733420867,0.2161196733420867,0.7246066573553717,0.7246066573553717,0.1834204612570743,0.1834204612570743,0.45507884356187067,0.45507884356187067,0.2324964885529498,0.2324964885529498,0.7651550620677275,0.7651550620677275,0.25555828361832084,0.25555828361832084,0.929598268975669,0.929598268975669
0.27,0.07216106032953218,0.07216106032953218,0.14088771703191566,0.14088771703191566,0.14339823288663056,0.14339823288663056,0.37406212573329095,0.37406212573329095,0.2197365165213666,0.2197365165213666,0.7221345238568785,0.7221345238568785,0.18567903889614587,0.18567903889614587,0.4483688684012303,0.4483688684012303,0.2363126190251601,0.2363126190251601,0.7613003848230706,0.7613003848230706,0.26020307536663684,0.26020307536663684,0.9283187120202101,0.9283187120202101
0.275,0.07286113649794446,0.07286113649794446,0.13914884539362882,0.13914884539362882,0.1452605032587568,0.1452605032587568,0.3708545440518581,0.3708545440518581,0.22334106550503435,0.22334106550503435,0.7196888877779732,0.7196888877779732,0.18790431454967343,0.18790431454967343,0.4417578296206969,0.4417578296206969,0.24010952471617825,0.24010952471617825,0.757465126549315,0.757465126549315,0.26484147371756867,0.26484147371756867,0.9270409163312482,0.9270409163312482
0.28,0.07355263108418796,0.07355263108418796,0.13745486039712476,0.13745486039712476,0.14710688527837074,0.14710688527837074,0.36770653752013177,0.36770653752013177,0.22693345105668444,0.22693345105668444,0.7172690632385512,0.7172690632385512,0.1900967793340669,0.1900967793340669,0.4352442681697359,0.4352442681697359,0.24388730244761167,0.24388730244761167,0.7536491894468569,0.7536491894468569,0.26947348752096995,0.26947348752096995,0.925764879470807,0.925764879470807
0.28500000000000003,0.07423576393751936,0.07423576393751936,0.13580393951581812,0.13580393951581812,0.1489376720645373,0.1489376720645373,0.3646162137792709,0.3646162137792709,0.23051380058556922,0.23051380058556922,0.7148743941992652,0.7148743941992652,0.19225691707586384,0.19225691707586384,0.42882674665518755,0.42882674665518755,0.24764604858750902,0.24764604858750902,0.7498524761742333,0.7498524761742333,0.27409912563612293,0.27409912563612293,0.9244905989983131,0.9244905989983131
0.29,0.07491074604980184,0.07491074604980184,0.13419436164326104,0.13419436164326104,0.1507531474965625,0.1507531474965625,0.3615817687428927,0.3615817687428927,0.2340822382912593,0.2340822382912593,0.7125042526604627,0.7125042526604627,0.1943852042739468,0.1943852042739468,0.42250384945351516,0.42250384945351516,0.25138585902170063,0.25138585902170063,0.74607488987707,0.74607488987707,0.27871839674434457,0.27871839674434457,0.923218072522219,0.923218072522219
0.295,0.07557778004460498,0.07557778004460498,0.13262449995563608,0.13262449995563608,0.1525535866416537,0.1525535866416537,0.3586014811268649,0.3586014811268649,0.23763888529967395,0.23763888529967395,0.7101580369954568,0.7101580369954568,0.19648211064568635,0.19648211064568635,0.4162741810882758,0.4162741810882758,0.25510682914505234,0.25510682914505234,0.7423163341969168,0.7423163341969168,0.28333130960806757,0.28333130960806757,0.9219472976286314,0.9219472976286314
0.3,0.07623706063221604,0.07623706063221604,0.13109281529005695,0.13109281529005695,0.154339256156207,0.154339256156207,0.355673707356726,0.355673707356726,0.24118385979105914,0.24118385979105914,0.7078351703949954,0.7078351703949954,0.19854809893562583,0.19854809893562583,0.4101363667984972,0.4101363667984972,0.2588090538723147,0.2588090538723147,0.7385767132602882,0.7385767132602882,0.28793787297734885,0.28793787297734885,0.9206782719070663,0.9206782719070663
