t,light,neutral,heavy
5.455,0.012843851389673016,0.03777603349903828,0.138512122829807
5.46,0.012826212776350814,0.03772415522456121,0.13832190249005774
5.465,0.012808614498293111,0.037672395583215036,0.13813211713845508
5.47,0.012791056426486066,0.03762075419554725,0.1379427653836732
5.4750000000000005,0.012773538432445896,0.0375692306836644,0.13775384584010275
5.48,0.01275606038821625,0.03751782467122426,0.13756535712782225
5.485,0.012738622166365527,0.03746653578342802,0.13737729787256936
5.49,0.012721223639984276,0.037415363647012576,0.13718966670571275
5.495,0.01270386468268258,0.03736430789024288,0.13700246226422386
5.5,0.012686545168587445,0.03731336814290425,0.13681568319064888
5.505,0.012669264972340232,0.0372625440362948,0.13662932813308087
5.51,0.012652023969094088,0.037211835203217906,0.13644339574513228
5.515,0.012634822034511387,0.03716124127797467,0.13625788468590708
5.5200000000000005,0.012617659044761203,0.03711076189635648,0.1360727936199737
5.525,0.012600534876516786,0.037060396695637605,0.13588812121733787
5.53,0.01258344940695305,0.0370101453145678,0.1357038661534152
5.535,0.01256640251374409,0.03696000739336497,0.13552002710900485
5.54,0.012549394075060692,0.036909982573707915,0.13533660277026233
5.545,0.012532423969567885,0.036860070498729074,0.13515359182867323
5.55,0.012515492076422484,0.036810270813007306,0.13497099298102674
5.555,0.012498598275270657,0.036760583162560756,0.1347888049293894
5.5600000000000005,0.012481742446245503,0.03671100719483971,0.1346070263810789
5.565,0.012464924469964656,0.03666154255871958,0.1344256560486384
5.57,0.012448144227527883,0.036612188904493775,0.13424469264981048
5.575,0.012431401600514713,0.036562945883866806,0.13406413490751157
5.58,0.012414696470982057,0.03651381314994723,0.13388398154980644
5.585,0.012398028721461883,0.03646479035724083,0.13370423130988301
5.59,0.012381398234958865,0.03641587716164372,0.13352488292602693
5.595,0.012364804894948064,0.03636707322043548,0.13334593514159673
5.6000000000000005,0.01234824858537261,0.036318378192272384,0.1331673867049987
5.605,0.012331729190641426,0.036269791737180666,0.1329892363696624
5.61,0.012315246595626918,0.03622131351654976,0.13281148289401573
5.615,0.012298800685662725,0.03617294319312566,0.13263412504146072
5.62,0.012282391346541457,0.03612468043100429,0.132457161580349
5.625,0.012266018464512462,0.036076524895624885,0.1322805912839579
5.63,0.012249681926279567,0.03602847625376343,0.13210441293046588
5.635,0.012233381618998892,0.03598053417352615,0.13192862530292918
5.64,0.012217117430276626,0.035932698324343024,0.1317532271892577
5.6450000000000005,0.01220088924816685,0.03588496837696132,0.13157821738219147
5.65,0.012184696961169337,0.03583734400343923,0.13140359467927712
5.655,0.012168540458227408,0.035789824877139435,0.13122935788284454
5.66,0.012152419628725755,0.03574241067272281,0.1310555057999836
5.665,0.012136334362488316,0.035695101066142106,0.130882037242521
5.67,0.012120284549776145,0.03564789573463572,0.1307089510269976
5.675,0.012104270081285274,0.035600794356721394,0.13053624597464508
5.68,0.012088290848144636,0.0355537966121901,0.13036392091136367
5.6850000000000005,0.012072346741913946,0.03550690218209984,0.13019197466769938
5.69,0.01205643765458164,0.035460110748769536,0.1300204060788216
5.695,0.012040563478562796,0.03541342199577293,0.1298492139845007
5.7,0.01202472410669707,0.03536683560793256,0.129678397229086
5.705,0.012008919432246652,0.03532035127131368,0.12950795466148346
5.71,0.011993149348894248,0.03527396867321838,0.12933788513513403
5.715,0.011977413750741036,0.03522768750217952,0.12916818750799153
5.72,0.011961712532304668,0.0351815074479549,0.1289988606425013
5.7250000000000005,0.011946045588517258,0.035135428201521345,0.12882990340557823
5.73,0.011930412814723408,0.035089449455068845,0.12866131466858574
5.735,0.011914814106678214,0.03504357090199475,0.12849309330731404
5.74,0.011899249360545322,0.03499779223689801,0.12832523820195932
5.745,0.011883718472894943,0.03495211315557337,0.1281577482371023
5.75,0.011868221340701939,0.0349065333550057,0.12799062230168753
5.755,0.011852757861343865,0.03486105253336431,0.12782385928900242
5.76,0.011837327932599062,0.03481567038999724,0.12765745809665652
5.765,0.011821931452644745,0.034770386625425725,0.12749141762656094
5.7700000000000005,0.011806568320055097,0.03472520094133852,0.12732573678490786
5.775,0.011791238433799377,0.03468011304058641,0.12716041448215012
5.78,0.011775941693240054,0.03463512262717663,0.12699544963298093
5.785,0.011760677998130917,0.0345902294062674,0.12683084115631377
5.79,0.011745447248615233,0.034545433084162455,0.12666658797526228
5.795,0.011730249345223901,0.03450073336830559,0.12650268901712047
5.8,0.011715084188873603,0.034456129967275304,0.12633914321334275
5.805,0.011699951680864979,0.03441162259077935,0.12617594949952426
5.8100000000000005,0.011684851722880817,0.03436721094964946,0.12601310681538133
5.815,0.011669784216984247,0.034322894755836025,0.12585061410473206
5.82,0.011654749065616931,0.03427867372240274,0.12568847031547667
5.825,0.011639746171597288,0.034234547563521435,0.12552667439957854
5.83,0.011624775438118715,0.03419051599446681,0.12536522531304495
5.835,0.011609836768747822,0.03414657873161124,0.12520412201590786
5.84,0.011594930067422663,0.03410273549241959,0.12504336347220515
5.845,0.011580055238451006,0.03405898599544414,0.12488294864996179
5.8500000000000005,0.011565212186508588,0.034015329960319377,0.124722876521171
5.855,0.01155040081663738,0.033971767107757005,0.12456314606177564
5.86,0.011535621034243885,0.033928297159540835,0.12440375625164969
5.865,0.011520872745097405,0.03388491983852178,0.12424470607457982
5.87,0.011506155855328371,0.03384163486861286,0.1240859945182471
