t,first_x,first_z,first_xdot,first_zdot,second_x,second_z,second_xdot,second_zdot,third_x,third_z,third_xdot,third_zdot
7.79,0.3737305407391727,1.3084183111446333,,,0.35611732292377085,1.262992482180672,,,0.35647161257323423,1.2628364139679549,,
7.8,0.3611621107390816,1.3125044845895706,,,0.34396214545688536,1.26683449657227,,,0.344318516531021,1.2666816304390756,,
7.8100000000000005,0.3485496992159202,1.316470041663136,,,0.33176605148902477,1.2705595948437336,,,0.33212447549460067,1.2704099563613231,,
7.82,0.3358944618969091,1.3203145141108168,,,0.3195301642523005,1.2741673450668105,,,0.31989061241428607,1.2740209595580252,,
7.83,0.3231975594511145,1.3240374447357162,,,0.30725561150609804,1.2776573260925,,,0.3076180547640519,1.277514218628632,,
7.84,0.3104601573838091,1.3276383874503186,,,0.2949435254337296,1.2810291275982129,,,0.29530793440793635,1.2808893229955136,,
7.8500000000000005,0.29768342593029357,1.3311169073272477,,,0.28259504253864476,1.2842823501339413,,,0.28296138756814665,1.2841458729503423,,
7.86,0.28486853994918915,1.3344725806490108,,,0.27021130354010864,1.287416605167434,,,0.2705795546573437,1.287283479699102,,
7.87,0.2720166788152109,1.337704994956724,,,0.257793453268434,1.2904315151283732,,,0.2581635802383813,1.2903017654064775,,
7.88,0.25912902631143103,1.3408137490978138,,,0.24534264055971555,1.2933267134515447,,,0.24571461287525434,1.2932003632390414,,
7.890000000000001,0.24620677052104223,1.3437984532726903,,,0.23286001815023016,1.2961018446190027,,,0.23323380497940815,1.2959789174072411,,
7.9,0.23325110371863098,1.3466587290803833,,,0.22034674257021192,1.2987565642012167,,,0.22072231281108926,1.2986370832067267,,
7.91,0.22026322226097028,1.3493942095631408,,,0.2078039740373896,1.301290538897203,,,0.20818129635066698,1.3011745270585275,,
7.92,0.20724432647734234,1.3520045392499818,,,0.19523287634997172,1.3037034465736321,,,0.19561191905461,1.3035909265479602,,
7.930000000000001,0.19419562055940054,1.3544893741991992,,,0.1826346167792561,1.3059949763029095,,,0.1830153479752802,1.3058859704631154,,
7.94,0.18111831245058133,1.3568483820398094,,,0.1700103659618326,1.3081648284002243,,,0.17039275343363658,1.3080593588313392,,
7.95,0.16801361373507562,1.359081242011941,,,0.15736129779143068,1.3102127144595621,,,0.15774530908085344,1.3101108029559754,,
7.96,0.1548827395263701,1.3611876450061606,,,0.14468858931035478,1.3121383573886791,,,0.14507419167487576,1.3120400254507067,,
7.97,0.14172690835536866,1.363167293601731,,,0.13199342060054095,1.313941491443031,,,0.13238058105669642,1.3138467602741333,,
7.98,0.12854734205810392,1.3650199021037934,,,0.11927697467428248,1.3156218622586546,,,0.11966565996259987,1.3155307527620215,,
7.99,0.11534526566304937,1.3667451965794766,,,0.10654043736451728,1.3171792268839986,,,0.10693061397063584,1.3170917596597813,,
8.0,0.10212190727804239,1.3683429148929211,,,0.0937849972149343,1.3186133538106979,,,0.09417663137013732,1.318529549152819,,
8.01,0.08887849797682845,1.3698128067392203,,,0.08101184536961017,1.3199240230032891,,,0.08140490307397716,1.3198439008964649,,
8.02,0.07561627168523685,1.3711546336772698,,,0.06822217546237576,1.3211110259278647,,,0.06861662246094637,1.3210346060447753,,
8.03,0.062336465066998664,1.3723681691615248,,,0.055417183505829075,1.32217416557966,,,0.0558129852611015,1.322101467277825,,
8.040000000000001,0.04904031740921721,1.3734531985726595,,,0.04259806778012929,1.323113256509571,,,0.04299518957512878,1.323044298828535,,
8.05,0.035729070507501536,1.3744095192471242,,,0.029766028721407226,1.3239281248496007,,,0.030164435562150874,1.3238629265079975,,
8.06,0.022403968550773645,1.3752369405055993,,,0.01692226880999294,1.3246186083372284,,,0.017321925417875715,1.3245571877298656,,
8.07,0.009066258005760051,1.37593528368034,,,0.0040679924582951756,1.3251845563387015,,,0.004468863421163472,1.3251269315337997,,
8.08,-0.004282812498821866,1.3765043821414091,,,-0.008795594101526869,1.3256258298712449,,,-0.008393544521288114,1.3255720186074371,,
8.09,-0.017641992288371763,1.3769440813217948,,,-0.021667282930213715,1.3259423016241867,,,-0.021264090669776067,1.325892321307957,,
8.1,-0.031010028758797915,1.3772542387414095,,,-0.03454586449419844,1.3261338559789957,,,-0.03414156571218273,1.3260877236814794,,
8.11,-0.044385667493181714,1.3774347240299685,,,-0.04743012777870849,1.32620038902823,,,-0.047024758842120616,1.3261581214829816,,
8.120000000000001,-0.05776765237870429,1.3774854189487422,,,-0.06031886040101045,1.3261418085933925,,,-0.05991245792566131,1.3261034221933465,,
8.13,-0.07115472572382436,1.377406217411182,,,-0.0732108487239331,1.3259580342416926,,,-0.07280344952952435,1.3259235450365792,,
8.14,-0.08454562837569649,1.3771970255024162,,,-0.08610487796956692,1.3256489973017094,,,-0.0856965190897991,1.3256184209953081,,
8.15,-0.09793909983781893,1.3768577614976105,,,-0.09899973233308207,1.3252146408779564,,,-0.09859045100572127,1.3251879928256258,,
8.16,-0.1113338783879,1.3763883558791963,,,-0.11189419509684652,1.3246549198643451,,,-0.11148402877167053,1.3246322150702243,,
8.17,-0.12472870119593221,1.3757887513529576,,,-0.12478704874461097,1.323969800956544,,,-0.12437603507067925,1.323951054071176,,
8.18,-0.13812230444246293,1.3750589028629794,,,-0.13767707507585358,1.323159262663232,,,-0.13726525192457142,1.3231444879808516,,
8.19,-0.1515134234370509,1.3741987776054514,,,-0.15056305532036512,1.3222232953162465,,,-0.15015046071905438,1.3222125067724102,,
8.2,-0.16490079273689726,1.373208355041329,,,-0.16344377025277046,1.3211619010796203,,,-0.16303044244116432,1.3211551122486598,,
8.21,-0.17828314626564015,1.3720876269078444,,,-0.17631800030740857,1.319975093957509,,,-0.1759039777712626,1.3199723180500391,,
8.22,-0.19165921743230202,1.3708365972288703,,,-0.1891845256931542,1.3186628998010057,,,-0.18876984704339184,1.3186641496614757,,
8.23,-0.20502773925037807,1.369455282324132,,,-0.20204212650841616,1.3172253563138432,,,-0.20162683055966024,1.3172306444181605,,
8.24,-0.21838744445705516,1.367943710817267,,,-0.21488958285619295,1.31566251305698,,,-0.21447370858770734,1.3156718515103394,,
8.25,-0.23173706563254984,1.366301923642729,,,-0.2277256749592105,1.313974431452071,,,-0.22730926151267294,1.3139878319864995,,
8.26,-0.24507533531955425,1.3645299740515378,,,-0.24054918327514294,1.312161184783821,,,-0.24013227000959464,1.3121786587558766,,
