t,e_abs,e_rel,order
35.19,0.004489587505918976,0.0013351930974719675,2
35.2,0.004492406926398963,0.0013355729445698812,2
35.21,0.004495227753216619,0.0013359527957121913,2
35.22,0.0044980499869565075,0.0013363326508731507,2
35.230000000000004,0.004500873628276296,0.001336712510048271,2
35.24,0.0045036986778318406,0.0013370923732320425,2
35.25,0.0045065251362361265,0.0013374722404057551,2
35.26,0.004509353004121035,0.0013378521115558434,2
35.27,0.004512182282074574,0.0013382319866552645,2
35.28,0.004515012970827478,0.0013386118657188447,2
35.29,0.004517845070967351,0.0013389917487184866,2
35.300000000000004,0.004520678583106022,0.0013393716356328274,2
35.31,0.00452351350792713,0.0013397515264613215,2
35.32,0.004526349846019831,0.0013401314211749736,2
35.33,0.004529187598069612,0.0013405113197728577,2
35.34,0.004532026764663655,0.0013408912222244915,2
35.35,0.00453486734648897,0.0013412711285284839,2
35.36,0.004537709344135824,0.0013416510386543678,2
35.37,0.004540552758289509,0.0013420309525993333,2
35.38,0.0045433975895416475,0.0013424108703324266,2
35.39,0.004546243838577639,0.0013427907918499668,2
35.4,0.004549091506014365,0.0013431707171275796,2
35.410000000000004,0.004551940592442497,0.00134355064613272,2
35.42,0.004554791098598857,0.001343930578875549,2
35.43,0.004557643025074531,0.001344310515322762,2
35.44,0.00456049637251239,0.001344690455455912,2
35.45,0.0045633511415268955,0.0013450703992477398,2
35.46,0.004566207332785471,0.001345450346686174,2
35.47,0.004569064946953064,0.0013458302977579742,2
35.480000000000004,0.004571923984624014,0.001346210252428672,2
35.49,0.00457478444648946,0.0013465902106918905,2
35.5,0.004577646333167304,0.001346970172519256,2
35.51,0.004580509645276496,0.0013473501378822984,2
35.52,0.004583374383485551,0.0013477301067667095,2
35.53,0.004586240548461585,0.0013481100791573513,2
35.54,0.00458910814082612,0.0013484900550252605,2
35.550000000000004,0.004591977161173395,0.0013488700343330614,2
35.56,0.004594847610246345,0.0013492500170866563,2
35.57,0.0045977194886419916,0.0013496300032486675,2
35.58,0.004600592797005889,0.0013500099927955772,2
35.59,0.004603467535959634,0.0013503899856964414,2
35.6,0.004606343706174287,0.0013507699819344313,2
35.61,0.004609221308319339,0.0013511499814918568,2
35.62,0.004612100343019617,0.001351529984337534,2
35.63,0.004614980810897014,0.0013519099904390416,2
35.64,0.004617862712648228,0.0013522899997854877,2
35.65,0.004620746048872278,0.0013526700123369813,2
35.660000000000004,0.004623630820242805,0.0013530500280751088,2
35.67,0.004626517027432241,0.0013534300469807132,2
35.68,0.004629404671066411,0.0013538100690206228,2
35.69,0.004632293751768601,0.0013541900941605612,2
35.7,0.004635184270215262,0.001354570122381429,2
35.71,0.004638076227079628,0.0013549501536628096,2
35.72,0.004640969622987529,0.0013553301879700688,2
35.730000000000004,0.004643864458566871,0.0013557102252688279,2
35.74,0.00464676073449256,0.0013560902655380754,2
35.75,0.004649658451440443,0.0013564703087567088,2
35.76,0.004652557610038174,0.0013568503548892117,2
35.77,0.004655458210913402,0.0013572304038997212,2
35.78,0.004658360254768832,0.0013576104557739195,2
35.79,0.004661263742207201,0.0013579905104679957,2
