t,H_x,H_z,history_x,history_z,delta_t
3.06,-0.015055039815221355,-0.18562587975758352,0.11566323517198296,-0.002873761480129744,0.01
3.0700000000000003,-0.013897608271747646,-0.18564908552026693,0.11581753387614102,-0.0017664439439109003,0.01
3.08,-0.012738689137698532,-0.1856612086364617,0.11596074371963716,-0.0006572855632587249,0.01
3.09,-0.011578393397354952,-0.18566223123153208,0.11609284606241888,0.0004536067883211814,0.01
3.1,-0.010416832216450152,-0.18565213650069531,0.1162138232724188,0.0015661260186892179,0.01
3.11,-0.009254116931906574,-0.18563090871115828,0.11632365873582229,0.002680164826978526,0.01
3.12,-0.008090359041733703,-0.18559853320415573,0.11642233685032627,0.0037956157133756108,0.01
3.13,-0.006925670194900046,-0.18555499639689077,0.11650984303009215,0.004912370989192283,0.01
3.14,-0.005760162181131859,-0.1855002857843719,0.11658616371377284,0.006030322786697795,0.01
3.15,-0.004593946920624588,-0.18543438994115682,0.11665128636172062,0.007149363069052228,0.01
3.16,-0.0034271364538974434,-0.18535729852299082,0.11670519945501198,0.008269383640369554,0.01
3.17,-0.0022598429315243457,-0.18526900226834941,0.11674789250544605,0.009390276155635036,0.01
3.18,-0.00109217860378852,-0.18516949299987812,0.11677935605410796,0.010511932130794932,0.01
3.19,7.574418955781577e-05,-0.1850587636257335,0.1167995816676687,0.011634242952769824,0.01
3.2,0.0012438130295648563,-0.1849368081408227,0.11680856194964812,0.012757099889585177,0.01
3.21,0.00241191542855078,-0.18480362162794178,0.11680629053665967,0.013880394100320714,0.01
3.22,0.0035799388402980516,-0.18465920025881627,0.11679276209789556,0.0150040166452996,0.01
3.23,0.004747770670508694,-0.1845035412950358,0.11676797234374661,0.016127858496190584,0.01
3.24,0.005915298287172986,-0.18433664308889244,0.11673191802310734,0.017251810546135005,0.01
3.25,0.007082409030970843,-0.18415850508411308,0.11668459692031125,0.018375763619973284,0.01
3.2600000000000002,0.008248990225579213,-0.18396912781649297,0.11662600786264415,0.019499608484210285,0.01
3.27,0.009414929188223727,-0.18376851291442886,0.11655615072231568,0.020623235857328837,0.01
3.2800000000000002,0.010580113240025528,-0.18355666309934643,0.11647502641070606,0.02174653641998958,0.01
3.29,0.01174442971643785,-0.1833335821860291,0.11638263688235806,0.022869400825195285,0.01
3.3000000000000003,0.012907765977672691,-0.18309927508284252,0.11627898513929746,0.023991719708439163,0.01
3.31,0.014070009419223803,-0.18285374779186034,0.11616407522662042,0.02511338369793137,0.01
3.3200000000000003,0.0152310474822051,-0.18259700740888388,0.1160379122352273,0.02623428342494627,0.01
3.33,0.01639076766392835,-0.1823290621233614,0.11590050230310167,0.027354309533919263,0.01
3.34,0.017549057528267083,-0.1820499212182055,0.1157518526155219,0.02847335269266793,0.01
3.35,0.01870580471623879,-0.18175959506950803,0.11559197140281119,0.02959130360277129,0.01
3.36,0.019860896956323308,-0.18145809514615005,0.11542086794231143,0.03070805300968793,0.01
3.37,0.02101422207508502,-0.18114543400931424,0.11523855255895654,0.03182349171300203,0.01
3.38,0.022165668007502443,-0.18082162531189,0.11504503662465271,0.03293751057677774,0.01
3.39,0.023315122807578078,-0.18048668379777869,0.11484033255800785,0.03405000053970575,0.01
