t,x,z,v_x,v_z,u_x,u_z,w_x,w_z,H_x,H_z,H'_x,H'_z
5.76,0.953496486849447,-0.7652544800102603,0.7761144149039515,0.9007821221078761,0.7652544800102603,0.953496486849447,0.010859934893691192,-0.052714364741570874,0.06321317300121936,0.06163786445181012,-0.10555017218602458,0.07822931821488321
5.7700000000000005,0.9612151056337978,-0.756207590924313,0.7675967913444919,0.9085817647177465,0.756207590924313,0.9612151056337978,0.01138920042017888,-0.05263334091605121,0.062153889383577354,0.06241512068459785,-0.10630182013735867,0.07721811509874321
5.78,0.9688481562157635,-0.7470831067009714,0.7590009059796715,0.9163010235735629,0.7470831067009714,0.9688481562157635,0.01191779927870007,-0.05254713264220057,0.06108713659847214,0.06318222675378503,-0.10704396706963193,0.0761993302862014
5.79,0.9763948597578804,-0.7378818351032653,0.7503275161894752,0.9239391148176771,0.7378818351032653,0.9763948597578804,0.012445681086209914,-0.05245574494020333,0.06001301004218476,0.06393910729032184,-0.10777653617066507,0.07517305374862415
5.8,0.9838544450357185,-0.7286045916972501,0.7415773871899142,0.9314952617152041,0.7286045916972501,0.9838544450357185,0.012972795492664058,-0.05235918332051437,0.05893160587505889,0.06468568782875748,-0.10849945145388373,0.07413937623010192
5.8100000000000005,0.9912261485159142,-0.7192521997803879,0.7327512919663421,0.9389686947322174,0.7192521997803879,0.9912261485159142,0.013499092185954242,-0.05225745378369673,0.05784302101310703,0.0654218948149239,-0.10921263782083557,0.07309838923937084
5.82,0.9985092144335264,-0.7098254903091494,0.723850011205105,0.9463586516133189,0.7098254903091494,0.9985092144335264,0.014024520895955517,-0.05215056282020747,0.056747353118642145,0.06614765561354494,-0.10991602105680398,0.07205018504166638
5.83,1.0057028948686977,-0.7003253018258437,0.7148743332255934,0.9536643774585756,0.7003253018258437,1.0057028948686977,0.014549031399749612,-0.05203851741012211,0.055644700591971005,0.0668628985157572,-0.11060952778205158,0.07099485665040461
5.84,1.0128064498226466,-0.6907524803846811,0.7058250539114659,0.9608851247998151,0.6907524803846811,1.0128064498226466,0.015072573526784816,-0.05192132502283142,0.05453516256300116,0.067567552746553,-0.11129308551589556,0.06993249781908784
5.8500000000000005,1.019819147292963,-0.6811078794770767,0.6967029766399997,0.9680201536762724,0.6811078794770767,1.019819147292963,0.015595097162922955,-0.0517989936166906,0.05341883888165303,0.06826154847213899,-0.11196662267677437,0.06886320303292903
5.86,1.0267402633481835,-0.6713923599562016,0.687508912211993,0.9750687317095811,0.6713923599562016,1.0267402633481835,0.01611655225579134,-0.051671531638602386,0.05229583010946562,0.06894481680721162,-0.112630068567519,0.06778706750029251
5.87,1.0335690822016779,-0.6616067899607857,0.6782436787800371,0.9820301341780973,0.6616067899607857,1.0335690822016779,0.016636888819251405,-0.05153894802358061,0.0511662375103027,0.06961728982214481,-0.11328335341303619,0.06670418714423709
5.88,1.040304896284802,-0.6517520448381822,0.6689081017763051,0.9889036440905558,0.6517520448381822,1.040304896284802,0.017156056938122943,-0.051401252194246294,0.050030163041204945,0.07027890055009633,-0.11392640834389978,0.06561465859396343
5.89,1.0469470063193307,-0.6418290070666979,0.6595030138398434,0.9956885522590448,0.6418290070666979,1.0469470063193307,0.017674006773145567,-0.05125845406028584,0.048887709343424755,0.07092958299402405,-0.11455916541465516,0.0645185791761187
5.9,1.0534947213891603,-0.6318385661771981,0.6500292547426479,1.0023841573712948,0.6318385661771981,1.0534947213891603,0.01819068856544981,-0.05111056401786551,0.04773897973291178,0.07156927213361873,-0.11518155759599802,0.06341604690611335
5.91,1.0599473590112645,-0.6217816186739916,0.6404876713158134,1.0089897660622753,0.6217816186739916,1.0599473590112645,0.01870605264182179,-0.05095759294898916,0.046584078191504744,0.07219790393214635,-0.11579351880030808,0.062307160479275314
5.92,1.0663042452059148,-0.6116590679550026,0.6308791173737787,1.015504692985088,0.6116590679550026,1.0663042452059148,0.019220049418776086,-0.05079955222082688,0.04542310935690567,0.07281541534320421,-0.11639498387863467,0.06119201926207607
5.93,1.072564714566129,-0.6014718242312384,0.6212044536392625,1.0219282608811562,0.6014718242312384,1.072564714566129,0.019732629408024116,-0.050636453684972826,0.0442561785139321,0.07342174431738785,-0.11698588862159376,0.0600707232830735
5.94,1.0787281103263804,-0.5912208044455579,0.6114645476662038,1.0282598006496937,0.5912208044455579,1.0787281103263804,0.020243743220645927,-0.050468309676686696,0.04308339158447373,0.0740168298088657,-0.1175661698029975,0.05894337322397325
