t,x,z,history_x,history_z,delta_t
7.1930000000000005,0.9693045910180226,0.8434254103008739,-0.09654633316928596,-0.09220079520773439,0.001
7.194,0.9685190907898665,0.8443960066261644,-0.09645721284103814,-0.09229839602896206,0.001
7.195,0.9677326216870576,0.845365873074905,-0.09636799359775239,-0.0923959135351069,0.001
7.196,0.9669451843853232,0.8463350086819015,-0.09627874308014128,-0.0924933476390919,0.001
7.197,0.9661567795613483,0.8473034124825876,-0.09618936870790407,-0.09259069824085842,0.001
7.198,0.965367407892779,0.8482710835130174,-0.09609984182723252,-0.09268796523376821,0.001
7.199,0.96457707005822,0.8492380208098708,-0.09601023741912229,-0.0927851485264668,0.001
7.2,0.9637857667372327,0.8502042234104563,-0.09592056921689363,-0.09288224802752865,0.001
7.2010000000000005,0.9629934986103371,0.8511696903527066,-0.09583077461883249,-0.09297926363238673,0.001
7.202,0.9622002663590112,0.852134420675183,-0.0957408755931084,-0.09307619524600241,0.001
7.203,0.9614060706656863,0.8530984134170773,-0.09565089145216632,-0.09317304277378113,0.001
7.204,0.9606109122137528,0.8540616676182083,-0.09556083719469655,-0.09326980612125624,0.001
7.205,0.9598147916875545,0.8550241823190298,-0.09547070145755043,-0.09336648519284552,0.001
7.206,0.9590177097723902,0.8559859565606243,-0.09538044100697363,-0.09346307988656832,0.001
7.207,0.958219667154515,0.8569469893847054,-0.09529007969806003,-0.09355959010518333,0.001
7.208,0.9574206645211323,0.8579072798336267,-0.09519959959565938,-0.09365601575374427,0.001
7.2090000000000005,0.9566207025604025,0.85886682695037,-0.09510904270654663,-0.0937523567397136,0.001
7.21,0.9558197819614394,0.8598256297785558,-0.09501841581333537,-0.09384861296504354,0.001
7.211,0.9550179034143041,0.8607836873624412,-0.0949276576671636,-0.09394478433054232,0.001
7.212,0.9542150676100136,0.8617409987469182,-0.09483680038088238,-0.0940408707440561,0.001
7.213,0.953411275240531,0.8626975629775221,-0.09474587898713338,-0.0941368721141842,0.001
7.214,0.9526065269987729,0.8636533791004227,-0.09465487370744086,-0.0942327883396743,0.001
7.215,0.9518008235786048,0.8646084461624314,-0.0945637500721972,-0.09432861932413417,0.001
7.216,0.9509941656748389,0.8655627632110038,-0.09447255549533651,-0.09442436497767304,0.001
7.2170000000000005,0.9501865539832371,0.866516329294234,-0.09438126566189453,-0.09452002519973135,0.001
7.218,0.9493779892005102,0.8674691434608598,-0.09428978778861108,-0.09461559988692159,0.001
7.219,0.9485684720243132,0.8684212047602657,-0.09419825325434772,-0.09471108895341018,0.001
7.22,0.9477580031532501,0.8693725122424784,-0.09410669902160151,-0.09480649231022298,0.001
7.221,0.9469465832868681,0.8703230649581722,-0.09401499879737685,-0.09490180985071817,0.001
7.222,0.9461342131256627,0.8712728619586677,-0.09392317396396521,-0.09499704148115029,0.001
7.223,0.9453208933710728,0.8722219022959323,-0.09383131440436188,-0.09509218711367495,0.001
7.224,0.94450662472548,0.873170185022585,-0.09373933133684886,-0.0951872466426451,0.001
7.2250000000000005,0.9436914078922108,0.8741177091918919,-0.09364725166882693,-0.09528221997899777,0.001
7.226,0.942875243575536,0.87506447385777,-0.09355509899855008,-0.09537710703124347,0.001
7.227,0.9420581324806644,0.8760104780747898,-0.09346280155931908,-0.09547190769462688,0.001
7.228,0.9412400753137511,0.8769557208981716,-0.09337047089358208,-0.09556662188758125,0.001
7.229,0.940421072781889,0.8779002013837927,-0.0932780082988387,-0.09566124950289634,0.001
7.23,0.9396011255931132,0.8788439185881818,-0.09318539969597595,-0.09575579044422966,0.001
7.231,0.9387802344563987,0.8797868715685225,-0.09309276715583792,-0.09585024463003933,0.001
7.232,0.9379584000816579,0.8807290593826586,-0.09300003371772902,-0.0959446119565861,0.001
7.2330000000000005,0.9371356231797436,0.8816704810890869,-0.09290720680454712,-0.09603889233287077,0.001
7.234,0.9363119044624473,0.8826111357469639,-0.09281429106631833,-0.09613308566502354,0.001
7.235,0.9354872446424962,0.8835510224161071,-0.09272130014759483,-0.09622719186371498,0.001
7.236,0.9346616444335554,0.8844901401569897,-0.09262820935714444,-0.09632121083035017,0.001
7.237,0.9338351045502243,0.8854284880307507,-0.09253499431203238,-0.0964151424652151,0.001
7.238,0.9330076257080406,0.8863660650991881,-0.09244166299933454,-0.09650898667739582,0.001
7.239,0.9321792086234773,0.8873028704247606,-0.0923482631377226,-0.09660274337768016,0.001
7.24,0.9313498540139373,0.8882389030705975,-0.092254784394882,-0.09669641246766503,0.001
7.2410000000000005,0.930519562597762,0.8891741621004864,-0.0921611981031134,-0.0967899938527772,0.001
7.242,0.9296883350942249,0.8901086465788822,-0.09206750096926442,-0.09688348744121811,0.001
7.243,0.9288561722235295,0.8910423555709077,-0.09197371507126206,-0.09697689313801305,0.001
7.244,0.9280230747068153,0.8919752881423518,-0.09187986151460592,-0.0970702108522552,0.001
7.245,0.9271890432661493,0.8929074433596728,-0.0917858813815684,-0.0971634404840458,0.001
7.246,0.9263540786245312,0.8938388202899971,-0.09169185285198012,-0.09725658194752285,0.001
7.247,0.9255181815058919,0.8947694180011211,-0.09159772008648304,-0.09734963514518924,0.001
7.248,0.9246813526350884,0.8956992355615149,-0.09150346499278328,-0.09744259998145921,0.001
7.2490000000000006,0.9238435927379096,0.8966282720403187,-0.09140916525204545,-0.09753547637300741,0.001
7.25,0.9230049025410717,0.897556526507344,-0.09131474993827027,-0.09762826421953363,0.001
7.251,0.922165282772217,0.8984839980330805,-0.09122022531958152,-0.0977209634283085,0.001
7.252,0.9213247341599179,0.8994106856886889,-0.09112561252224083,-0.09781357390623313,0.001
7.253,0.9204832574336698,0.9003365885460087,-0.09103088549615279,-0.09790609555610885,0.001
7.2540000000000004,0.9196408533238956,0.9012617056775534,-0.09093609653121604,-0.09799852829373279,0.001
7.255,0.918797522561944,0.902186036156515,-0.09084122984457821,-0.09809087202540923,0.001
7.256,0.9179532658800864,0.9031095790567659,-0.09074627136588731,-0.0981831266547637,0.001
7.257000000000001,0.9171080840115189,0.9040323334528557,-0.09065119022809398,-0.09827529208610741,0.001
7.258,0.9162619776903619,0.9049542984200143,-0.09055604411796025,-0.0983673682362749,0.001
7.259,0.9154149476516554,0.9058754730341549,-0.09046080174710625,-0.09845935500741732,0.001
7.26,0.9145669946313656,0.9067958563718705,-0.09036544220561638,-0.09855125230445339,0.001
7.261,0.9137181193663756,0.9077154475104402,-0.09026997688285121,-0.0986430600366397,0.001
7.2620000000000005,0.9128683225944919,0.9086342455278245,-0.09017445782161104,-0.09873477811770215,0.001
7.263,0.9120176050544418,0.9095522495026684,-0.09007887305612883,-0.09882640645527019,0.001
7.264,0.9111659674858694,0.9104694585143067,-0.08998317043696602,-0.09891794494897255,0.001
7.265000000000001,0.9103134106293383,0.9113858716427569,-0.08988739806017776,-0.09900939351609495,0.001
7.266,0.909459935226333,0.9123014879687257,-0.08979148873698506,-0.09910075205749536,0.001
7.267,0.9086055420192514,0.9132163065736093,-0.08969549800187337,-0.09919202048561715,0.001
7.268,0.9077502317514119,0.914130326539492,-0.08959939382764048,-0.09928319870501667,0.001
7.269,0.9068940051670455,0.91504354694915,-0.08950325764534028,-0.09937428663058157,0.001
7.2700000000000005,0.9060368630113023,0.9159559668860495,-0.08940703891850887,-0.09946528416763556,0.001
7.271,0.9051788060302464,0.9168675854343491,-0.0893105850034317,-0.09955619120722048,0.001
7.272,0.9043198349708553,0.9177784016789019,-0.08921408790915564,-0.09964700767680412,0.001
7.273000000000001,0.9034599505810197,0.9186884147052546,-0.08911762259835854,-0.09973773349276982,0.001
7.274,0.9025991536095453,0.9195976235996476,-0.08902104628620577,-0.09982836855194677,0.001
7.275,0.9017374448061481,0.9205060274490192,-0.088924315916735,-0.09991891275738496,0.001
7.276,0.9008748249214585,0.9214136253410025,-0.08882750042850063,-0.1000093660264163,0.001
7.277,0.900011294707015,0.9223204163639307,-0.08873060531377064,-0.10009972826861357,0.001
7.2780000000000005,0.8991468549152687,0.9232263996068337,-0.08863359609535593,-0.10018999938767337,0.001
7.279,0.8982815062995805,0.9241315741594409,-0.08853650998985074,-0.10028017929428046,0.001
7.28,0.8974152496142183,0.9250359391121844,-0.08843936584182899,-0.10037026790223891,0.001
7.281000000000001,0.8965480856143607,0.9259394935561954,-0.08834208187180081,-0.10046026511474082,0.001
7.282,0.8956800150560946,0.9268422365833073,-0.0882447344385966,-0.10055017084573237,0.001
7.283,0.8948110386964112,0.9277441672860594,-0.08814727800042732,-0.10063998499938975,0.001
7.284,0.8939411572932122,0.9286452847576914,-0.08804973467905342,-0.10072970748763765,0.001
7.285,0.8930703716053006,0.9295455880921509,-0.08795217119917709,-0.1008193382283693,0.001
7.2860000000000005,0.8921986823923884,0.9304450763840909,-0.0878544535184318,-0.10090887711829666,0.001
7.287,0.8913260904150921,0.9313437487288686,-0.08775665148117184,-0.1009983240732204,0.001
7.288,0.8904525964349287,0.9322416042225529,-0.08765877569405944,-0.10108767900265647,0.001
7.289000000000001,0.8895782012143226,0.9331386419619191,-0.08756083877783283,-0.10117694182353176,0.001
7.29,0.8887029055165988,0.9340348610444502,-0.08746278257463302,-0.1012661124387435,0.001
7.291,0.8878267101059832,0.9349302605683443,-0.0873645901606821,-0.10135519075147315,0.001
7.292,0.8869496157476067,0.935824839632506,-0.08726634892635587,-0.10144417668411165,0.001
7.293,0.8860716232074963,0.936718597336556,-0.08716802129318069,-0.10153307014407531,0.001
7.2940000000000005,0.885192733252582,0.9376115327808257,-0.08706959194645947,-0.1016218710388408,0.001
7.295,0.8843129466506929,0.9385036450663606,-0.08697112524582451,-0.10171057928562632,0.001
7.296,0.8834322641705552,0.9393949332949222,-0.08687256381951158,-0.1017991947898409,0.001
7.297,0.8825506865817953,0.9402853965689867,-0.08677382382256127,-0.10188771745337988,0.001
7.298,0.8816682146549344,0.9411750339917491,-0.08667501759626361,-0.1019761471979379,0.001
7.299,0.8807848491613925,0.9420638446671187,-0.08657616782012667,-0.10206448393575585,0.001
