t,E_rel,E_abs
6.545,3.704785654314918e-07,4.653453486665203e-07
6.55,3.7067120568208694e-07,4.6566833629934077e-07
6.555,3.7086387425178224e-07,4.6599146747705026e-07
6.5600000000000005,3.710565724312123e-07,4.6631474383244264e-07
6.565,3.7124930554308636e-07,4.666381720673005e-07
6.57,3.7144206813463116e-07,4.669617453413541e-07
6.575,3.7163486655502e-07,4.6728547164885353e-07
6.58,3.718276861745596e-07,4.676093326064382e-07
6.585,3.720205438836195e-07,4.6793334946415564e-07
6.59,3.7221343453121114e-07,4.6825751575784114e-07
6.595,3.7240636287938756e-07,4.6858183749173145e-07
6.6000000000000005,3.7259932152370836e-07,4.689063053628229e-07
6.605,3.7279231153459077e-07,4.692309207286518e-07
6.61,3.7298533305625635e-07,4.695556837814876e-07
6.615,3.7317839187892426e-07,4.69880601822572e-07
6.62,3.733714882033269e-07,4.7020567511889966e-07
6.625,3.7356462138317213e-07,4.7053090287055347e-07
6.63,3.737577844085847e-07,4.7085627626006883e-07
6.635,3.7395098795087783e-07,4.711818087420895e-07
6.640000000000001,3.741442332678136e-07,4.7150750191720243e-07
6.6450000000000005,3.743375007903262e-07,4.718333311357498e-07
6.65,3.7453081196474436e-07,4.7215932343750103e-07
6.655,3.7472415413992057e-07,4.724854628877637e-07
6.66,3.749175325267148e-07,4.7281175606645564e-07
6.665,3.7511094870589584e-07,4.731382049791459e-07
6.67,3.753044065441823e-07,4.7346481451644017e-07
6.675,3.7549789443316887e-07,4.737915700461267e-07
6.68,3.756914245760654e-07,4.741184869755797e-07
6.6850000000000005,3.7588499319311505e-07,4.744455605488832e-07
6.69,3.760785985343905e-07,4.7477278856911997e-07
6.695,3.7627224300468166e-07,4.7510017408359777e-07
6.7,3.764659225323141e-07,4.75427711962623e-07
6.705,3.7665964199111326e-07,4.757554083717067e-07
6.71,3.7685340384897715e-07,4.760832664410396e-07
6.715,3.770472052096896e-07,4.7641128252507695e-07
6.72,3.7724104398201864e-07,4.7673945399283945e-07
6.7250000000000005,3.7743493412946874e-07,4.770677985040841e-07
6.73,3.776288541543714e-07,4.773962889009048e-07
6.735,3.778228164007091e-07,4.777249407961304e-07
6.74,3.780168197177877e-07,4.780537527474618e-07
6.745,3.782108606472029e-07,4.783827203924839e-07
6.75,3.784049410356111e-07,4.787118460768679e-07
6.755,3.785990613311345e-07,4.790411303781791e-07
6.76,3.787932239965024e-07,4.793705764237346e-07
6.765000000000001,3.789874255485548e-07,4.797001798168995e-07
6.7700000000000005,3.7918167488292694e-07,4.800299518288835e-07
6.775,3.79375959196238e-07,4.803598762636496e-07
6.78,3.795702847223792e-07,4.806899610225683e-07
6.785,3.797646495948526e-07,4.810202037521907e-07
6.79,3.7995906401796585e-07,4.813506173891333e-07
6.795,3.801535099703573e-07,4.816811791149876e-07
6.8,3.803480026738288e-07,4.820119082239993e-07
6.805,3.805425427841883e-07,4.823428055611534e-07
6.8100000000000005,3.807371222894427e-07,4.826738609833809e-07
6.815,3.809317390353843e-07,4.830050717677688e-07
6.82,3.8112639395122146e-07,4.833364390996572e-07
6.825,3.8132110096034943e-07,4.836679806468887e-07
6.83,3.815158558884733e-07,4.839996911303716e-07
6.835,3.817106655249492e-07,4.84331579178327e-07
6.84,3.819055012710704e-07,4.846636085150389e-07
6.845,3.821004016076018e-07,4.849958279824671e-07
6.8500000000000005,3.822953326996039e-07,4.853281946510212e-07
6.855,3.824903221501918e-07,4.856607435708411e-07
6.86,3.826853487880373e-07,4.859934478750769e-07
6.865,3.828804175184611e-07,4.863263137998937e-07
6.87,3.8307552175503725e-07,4.866593329865531e-07
6.875,3.8327068855948715e-07,4.869925398244196e-07
6.88,3.834658892713123e-07,4.873258979124677e-07
6.885,3.836611317432454e-07,4.876594172348214e-07
6.890000000000001,3.8385642484836607e-07,4.879931090796126e-07
6.8950000000000005,3.84051762170352e-07,4.883269653020559e-07
6.9,3.842471590868882e-07,4.886610054677417e-07
6.905,3.844426030250417e-07,4.889952136037888e-07
6.91,3.846380928043393e-07,4.893295882192573e-07
6.915,3.848336514960578e-07,4.896641586800628e-07
6.92,3.8502925092059456e-07,4.899988891492762e-07
6.925,3.852249044293623e-07,4.903337966274878e-07
6.93,3.854205951178827e-07,4.906688596090882e-07
6.9350000000000005,3.8561633631248123e-07,4.910040950660425e-07
6.94,3.858121312626771e-07,4.91339507149067e-07
6.945,3.8600797565753374e-07,4.916750903815741e-07
6.95,3.862038620412349e-07,4.920108352765308e-07
6.955,3.8639978992618415e-07,4.923467412189552e-07
6.96,3.86595784665052e-07,4.926828405244885e-07
6.965,3.867918179717604e-07,4.930190971613835e-07
6.97,3.869878987204671e-07,4.933555224466009e-07
6.9750000000000005,3.871840335509037e-07,4.936921248558354e-07
6.98,3.8738022504288505e-07,4.940289076929595e-07
6.985,3.875764642192128e-07,4.943658595227086e-07
6.99,3.877727546533901e-07,4.947029849132912e-07
6.995,3.8796909277191985e-07,4.950402793165804e-07
7.0,3.8816547618524644e-07,4.953777396920872e-07
7.005,3.883619102668195e-07,4.957153729059753e-07
7.01,3.8855838735539634e-07,4.960531691883664e-07
7.015000000000001,3.887549105137509e-07,4.963911324556313e-07
7.0200000000000005,3.889514914282214e-07,4.967292776399146e-07
7.025,3.891481144475752e-07,4.970675847648376e-07
7.03,3.893447767385019e-07,4.974060502153792e-07
7.035,3.895414981708582e-07,4.977446993833121e-07
7.04,3.897382660672695e-07,4.980835160829299e-07
7.045,3.899350786585149e-07,4.984224980600652e-07
7.05,3.9013196130691856e-07,4.987616777450103e-07
7.055,3.903288640407123e-07,4.991009912634349e-07
7.0600000000000005,3.905258356823601e-07,4.994405010432411e-07
7.065,3.9072285788210756e-07,4.997801836349523e-07
7.07,3.909199241551162e-07,5.00120030751798e-07
7.075,3.9111705897327357e-07,5.004600737122618e-07
7.08,3.9131422874237833e-07,5.008002695442876e-07
7.085,3.9151144271381264e-07,5.011406300885417e-07
7.09,3.9170872801327496e-07,5.014811900773278e-07
7.095,3.919060667095544e-07,5.018219265734627e-07
7.1000000000000005,3.921034419180045e-07,5.021628179638784e-07
7.105,3.923008675520386e-07,5.025038820699163e-07
7.11,3.924983594589488e-07,5.028451392029148e-07
7.115,3.926958958062881e-07,5.031865614069124e-07
7.12,3.928934736803472e-07,5.035281449522714e-07
7.125,3.93091106864195e-07,5.038699075088234e-07
7.13,3.9328880187201194e-07,5.042118574397239e-07
7.135,3.9348653946925017e-07,5.045539700972288e-07
7.140000000000001,3.9368431744466933e-07,5.048962426484148e-07
7.1450000000000005,3.938821558313277e-07,5.052387007913907e-07
7.15,3.940800412225762e-07,5.05581327341082e-07
7.155,3.942779700909381e-07,5.059241177768754e-07
7.16,3.9447596347887594e-07,5.062670991077547e-07
7.165,3.9467399468085277e-07,5.066102370714656e-07
7.17,3.948720847023066e-07,5.069535586349739e-07
7.175,3.95070228468825e-07,5.072970572958228e-07
7.18,3.9526841717698774e-07,5.076407217577695e-07
7.1850000000000005,3.954666634765465e-07,5.079845682735732e-07
7.19,3.956649631688315e-07,5.083285914614212e-07
7.195,3.9586331563501055e-07,5.086727905356344e-07
7.2,3.9606171403011804e-07,5.09017156708107e-07
7.205,3.9626018326503714e-07,5.093617220041692e-07
7.21,3.964586916760469e-07,5.097064457365544e-07
7.215,3.966572554918832e-07,5.100513487730024e-07
7.22,3.968558744158852e-07,5.103964307425469e-07
7.225,3.970545440232223e-07,5.107416859637239e-07
7.23,3.9725327805013256e-07,5.110871321161803e-07
7.235,3.974520532793023e-07,5.114327393408984e-07
7.24,3.9765089098147954e-07,5.117785350141491e-07
7.245,3.978497901446274e-07,5.121245178483087e-07
7.25,3.980487333624601e-07,5.12470665447898e-07
7.255,3.982477263130823e-07,5.12816985127022e-07
7.26,3.984467751313919e-07,5.13163484793186e-07
7.265000000000001,3.986458640809194e-07,5.135101441861051e-07
7.27,3.988450239802202e-07,5.138570030109499e-07
7.275,3.9904423022085124e-07,5.142040295781388e-07
7.28,3.9924348824893035e-07,5.145512309105429e-07
7.285,3.994427942414913e-07,5.148986020876856e-07
7.29,3.996421583381745e-07,5.152461561871387e-07
7.295,3.998415762694354e-07,5.155938877150483e-07
7.3,4.000410427967951e-07,5.159417899239975e-07
7.305,4.002405673832884e-07,5.162898750259846e-07
7.31,4.004401353795732e-07,5.166381241323536e-07
7.315,4.0063976998306424e-07,5.169865671786754e-07
7.32,4.00839439338187e-07,5.173351630685324e-07
7.325,4.010391597964666e-07,5.176839329050035e-07
7.33,4.0123893610092616e-07,5.180328828184362e-07
7.335,4.014387659697092e-07,5.183820098721565e-07
7.34,4.016386451925582e-07,5.187313086367897e-07
7.345,4.018385783461785e-07,5.190807850297974e-07
7.35,4.0203856435383107e-07,5.194304376685714e-07
7.355,4.0223859753122553e-07,5.197802592155384e-07
7.36,4.0243868996486037e-07,5.201302652957204e-07
7.365,4.026388197579966e-07,5.20480427615884e-07
7.37,4.028389995073152e-07,5.208307624594291e-07
7.375,4.0303923522012964e-07,5.211812776002956e-07
7.38,4.032395172631538e-07,5.215319605890161e-07
7.385,4.0343985488827447e-07,5.218828233968785e-07
7.390000000000001,4.036402375796427e-07,5.22233852427875e-07
7.395,4.03840668433966e-07,5.225850516915767e-07
7.4,4.0404117001874766e-07,5.22936450400734e-07
7.405,4.042417084737881e-07,5.232880047433722e-07
7.41,4.044422984375506e-07,5.23639733668893e-07
7.415,4.046429510851644e-07,5.239916516551791e-07
7.42,4.048436534485529e-07,5.243437419205873e-07
7.425,4.0504440857916977e-07,5.246960084234148e-07
7.43,4.0524522100847725e-07,5.250484570422792e-07
7.435,4.0544608779356554e-07,5.25401083974191e-07
7.44,4.0564701632456615e-07,5.257538988059986e-07
7.445,4.0584799654876753e-07,5.261068885198676e-07
7.45,4.060490298705698e-07,5.264600549434377e-07
7.455,4.062501114459447e-07,5.268133918028502e-07
7.46,4.064512520875466e-07,5.271669131265343e-07
7.465,4.0665244776557367e-07,5.275206136987491e-07
7.47,4.068537081174315e-07,5.278745060326744e-07
7.475,4.0705500674506324e-07,5.282285558876687e-07
7.48,4.072563748934445e-07,5.285828038145701e-07
7.485,4.07457787136828e-07,5.289372168262195e-07
7.49,4.076592449320862e-07,5.292917968157951e-07
7.495,4.0786076859403255e-07,5.296465701666713e-07
7.5,4.080623429634658e-07,5.30001517206257e-07
7.505,4.082639676477485e-07,5.303566374306816e-07
7.51,4.0846565382556967e-07,5.307119453701446e-07
7.515000000000001,4.0866738750297787e-07,5.310674228529737e-07
7.52,4.08869179376481e-07,5.31423083785872e-07
7.525,4.0907101454838334e-07,5.317789088137118e-07
7.53,4.092729136150197e-07,5.321349247169555e-07
7.535,4.094748632834975e-07,5.324911142245411e-07
7.54,4.0967687367818676e-07,5.328474905110084e-07
7.545,4.098789261416113e-07,5.332040293184023e-07
7.55,4.100810409752745e-07,5.335607570616626e-07
7.555,4.1028321013176263e-07,5.339176632827716e-07
7.56,4.104854318596552e-07,5.342747457110393e-07
7.565,4.1068770948390853e-07,5.346320086826137e-07
7.57,4.1089003653361606e-07,5.349894437822497e-07
7.575,4.1109241965042966e-07,5.353470596647017e-07
7.58,4.1129485860871003e-07,5.357048560463027e-07
7.585,4.114973512963941e-07,5.360628301857449e-07
7.59,4.1169989975466376e-07,5.364209847512578e-07
7.595,4.119024970548726e-07,5.367793107237591e-07
7.6,4.121051534542644e-07,5.371378214779425e-07
7.605,4.1230786075465806e-07,5.374965063389122e-07
7.61,4.1251062425685244e-07,5.378553722250551e-07
7.615,4.127134414897028e-07,5.382144159243643e-07
7.62,4.129163134175809e-07,5.385736387036108e-07
7.625,4.13119246315403e-07,5.389330487583427e-07
7.63,4.133222274609311e-07,5.392926295028933e-07
7.635,4.1352525623254397e-07,5.396523801313303e-07
7.640000000000001,4.137283455513045e-07,5.400123175135706e-07
7.645,4.1393148362126164e-07,5.403724262642767e-07
7.65,4.1413466922357484e-07,5.407327047977938e-07
7.655,4.1433791765093604e-07,5.410931730901784e-07
