t,x,z,v_x,v_z,u_x,u_z,w_x,w_z,H_x,H_z,H'_x,H'_z,F_x,F_z
8.36,-0.36739348927405635,1.287175401252967,-1.2617366212281926,-0.3115816990250751,-1.287175401252967,-0.36739348927405635,0.0254387800247744,0.05581179024898125,-0.1444280390652198,-0.09496451165436882,0.04713733335060866,-0.1307399554672637,0.04713792393793667,-0.13074209713677704
8.370000000000001,-0.37999769985250864,1.283997836950261,-1.2590853684535936,-0.32392757798889105,-1.283997836950261,-0.37999769985250864,0.024912468496667284,0.056070121863617595,-0.14395012359634196,-0.09626987947118296,0.04844396145270213,-0.1303271905093215,0.04844457294629052,-0.13032932708909487
8.38,-0.39257479440746823,1.2806969233290697,-1.25631344536377,-0.33625136623090235,-1.2806969233290697,-0.39257479440746823,0.024383477965299605,0.05632342817656588,-0.1434591598361657,-0.09757105546455544,0.04974692886225718,-0.1299016063556504,0.04974756125468179,-0.12990373764065344
8.39,-0.4051235671199623,1.2772728871891728,-1.253421030711244,-0.3485518854605659,-1.2772728871891728,-0.4051235671199623,0.023851856477928646,0.056571681659396356,-0.14295518501909685,-0.0988679115982959,0.05104611010040383,-0.12946323477457877,0.051046763409496904,-0.12946536055995636
8.4,-0.41764281401603,1.2737259671064136,-1.2504083147432299,-0.3608279587738509,-1.2737259671064136,-0.41764281401603,0.023317652363183727,0.05681485524217911,-0.14243823763415764,-0.10016032016004697,0.05234138009418032,-0.12901210876136737,0.052342054227984096,-0.12901422884307248
8.41,-0.4301313330816069,1.270056413418281,-1.2472754991915824,-0.3730784107652545,-1.270056413418281,-0.4301313330816069,0.02278091422669859,0.057052922316352395,-0.14190835741721325,-0.1014481537735232,0.05363261392492902,-0.12854826253703422,0.05363330881025309,-0.12855037671136807
8.42,-0.44258792437732736,1.2662644882083558,-1.2440227972616436,-0.38530206763977976,-1.2662644882083558,-0.44258792437732736,0.022241690946712245,0.0572858567375476,-0.14136558535565907,-0.10273128541078759,0.05491968691259963,-0.12807173154594675,0.054920402551263084,-0.1280738396091251
8.43,-0.45501139015319536,1.2623504652896533,-1.2406504336200086,-0.3974977573248202,-1.2623504652896533,-0.45501139015319536,0.021700031669644737,0.05751363282837518,-0.1408099636789613,-0.10400958840444208,0.05620247483410523,-0.1275825524519325,0.05620321115278387,-0.12758465420103976
8.44,-0.46740053496313333,1.2583146301868355,-1.2371586443811926,-0.4096643095819683,-1.2583146301868355,-0.46740053496313333,0.02115598580564293,0.05773622538116502,-0.140241535858977,-0.1052829364598262,0.0574808537546474,-0.12708076313686245,0.05748161063534309,-0.12708285836960506
8.45,-0.47975416577938707,1.2541572801173104,-1.2335476770932123,-0.42180055611872064,-1.2541572801173104,-0.47975416577938707,0.02060960302409809,0.05795360966066643,-0.13966034660386836,-0.10655120366717928,0.05875469994800486,-0.12656640269814545,0.05875547735014563,-0.12656849121237673
