t,x,z,xdot,zdot
0.675,-0.6763337116168764,-0.20158517096523976,-1.0019758690620386,-0.3793328455938886
0.68,-0.6813435909621866,-0.20348219878826965,-1.0019758690620386,-0.37947760991718366
0.685,-0.6863534703074967,-0.20537993862993453,-1.0019758690620386,-0.37961767491748777
0.6900000000000001,-0.6913633496528069,-0.2072783673767665,-1.0019758690620386,-0.37975319314368916
0.6950000000000001,-0.696373228998117,-0.2091774626656044,-1.0019758690620386,-0.3798843121926514
0.7000000000000001,-0.7013831083434272,-0.2110772028592375,-1.0019758690620386,-0.38001117486996544
0.705,-0.7063929876887374,-0.21297756702283968,-1.0019758690620386,-0.38013391934548346
0.71,-0.7114028670340475,-0.21487853490116882,-1.0019758690620386,-0.3802526793038035
0.715,-0.7164127463793577,-0.21678008689650613,-1.0019758690620386,-0.3803675840898696
0.72,-0.7214226257246679,-0.21868220404731178,-1.0019758690620386,-0.38047875884984467
0.725,-0.726432505069978,-0.22058486800757326,-1.0019758690620386,-0.3805863246674113
0.73,-0.7314423844152882,-0.22248806102682422,-1.0019758690620386,-0.3806903986956474
0.735,-0.7364522637605984,-0.22439176593081195,-1.0019758690620386,-0.3807910942846208
0.74,-0.7414621431059085,-0.22629596610279235,-1.0019758690620386,-0.3808885211048425
0.745,-0.7464720224512187,-0.2282006454654322,-1.0019758690620386,-0.38098278526671175
0.75,-0.7514819017965289,-0.23010578846329888,-1.0019758690620386,-0.38107398943608417
0.755,-0.756491781141839,-0.23201138004591837,-1.0019758690620386,-0.381162232946088
0.76,-0.7615016604871492,-0.23391740565138347,-1.0019758690620386,-0.3812476119053107
0.765,-0.7665115398324593,-0.23582385119049395,-1.0019758690620386,-0.3813302193024739
0.77,-0.7715214191777695,-0.2377307030314116,-1.0019758690620386,-0.38141014510770976
0.775,-0.7765312985230797,-0.2396379479848134,-1.0019758690620386,-0.3814874763705503
0.78,-0.7815411778683898,-0.24154557328952658,-1.0019758690620386,-0.38156229731473557
0.785,-0.7865510572137,-0.24345356659863018,-1.0019758690620386,-0.3816346894299441
0.79,-0.7915609365590102,-0.24536191596600757,-1.0019758690620386,-0.3817047315605458
0.795,-0.7965708159043203,-0.24727060983333554,-1.0019758690620386,-0.38177249999147356
0.8,-0.8015806952496305,-0.2491796370174959,-1.0019758690620386,-0.38183806853130753
0.805,-0.8065905745949407,-0.2510889866983956,-1.0019758690620386,-0.38190150859266203
0.81,-0.8116004539402508,-0.2529986484071821,-1.0019758690620386,-0.3819628892699633
